Title,Job Zone,Description,Domain,O*NET-SOC Code,spanish_title,spanish_description,spanish_domain
Hydrologic Technicians,3,"Collect and organize data concerning the distribution and circulation of ground and surface water, and data on its physical, chemical, and biological properties. Measure and report on flow rates and ground water levels, maintain field equipment, collect water samples, install and collect sampling equipment, and process samples for shipment to testing laboratories. May collect data on behalf of hydrologists, engineers, developers, government agencies, or agriculture.","Life, Physical, and Social Science Occupations",19-4044.00,Técnicos hidrológicos,"Recopile y organice datos sobre la distribución y circulación de aguas terrestres y superficiales, y datos sobre sus propiedades físicas, químicas y biológicas. Mida e informe sobre las tasas de flujo y los niveles de agua subterránea, mantenga equipos de campo, recolecte muestras de agua, instale y recolecte equipos de muestreo, y procese muestras para el envío a los laboratorios de prueba. Puede recopilar datos en nombre de hidrólogos, ingenieros, desarrolladores, agencias gubernamentales o agricultura.","Ocupaciones de la vida, física y de las ciencias sociales"
Nuclear Technicians,3,"Assist nuclear physicists, nuclear engineers, or other scientists in laboratory, power generation, or electricity production activities. May operate, maintain, or provide quality control for nuclear testing and research equipment. May monitor radiation.","Life, Physical, and Social Science Occupations",19-4051.00,Técnicos Nucleares,"Ayudar a físicos nucleares, ingenieros nucleares u otros científicos en laboratorio, generación de energía o actividades de producción de electricidad. Puede operar, mantener o proporcionar control de calidad para las pruebas nucleares y los equipos de investigación. Puede monitorear la radiación.","Ocupaciones de la vida, física y de las ciencias sociales"
Nuclear Monitoring Technicians,3,"Collect and test samples to monitor results of nuclear experiments and contamination of humans, facilities, and environment.","Life, Physical, and Social Science Occupations",19-4051.02,Técnicos de monitoreo nuclear,"Recopile y pruebe muestras para monitorear los resultados de los experimentos nucleares y la contaminación de humanos, instalaciones y medio ambiente.","Ocupaciones de la vida, física y de las ciencias sociales"
Social Science Research Assistants,4,"Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.","Life, Physical, and Social Science Occupations",19-4061.00,Asistentes de investigación de ciencias sociales,"Ayudar a los científicos sociales en laboratorio, encuestas y otras investigaciones de ciencias sociales. Puede ayudar a preparar los hallazgos para la publicación y ayudar en el análisis de laboratorio, el control de calidad o la gestión de datos.","Ocupaciones de la vida, física y de las ciencias sociales"
Forest and Conservation Technicians,3,"Provide technical assistance regarding the conservation of soil, water, forests, or related natural resources. May compile data pertaining to size, content, condition, and other characteristics of forest tracts under the direction of foresters, or train and lead forest workers in forest propagation and fire prevention and suppression. May assist conservation scientists in managing, improving, and protecting rangelands and wildlife habitats.","Life, Physical, and Social Science Occupations",19-4071.00,Bosques y técnicos de conservación,"Brindar asistencia técnica con respecto a la conservación del suelo, el agua, los bosques o los recursos naturales relacionados. Puede compilar datos relacionados con el tamaño, el contenido, la condición y otras características de los tractos forestales bajo la dirección de los forestales, o capacitar y liderar a los trabajadores forestales en la propagación forestal y la prevención y la supresión del incendio. Puede ayudar a los científicos de conservación a manejar, mejorar y proteger los pastizales y los hábitats de vida silvestre.","Ocupaciones de la vida, física y de las ciencias sociales"
Forensic Science Technicians,4,"Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry.","Life, Physical, and Social Science Occupations",19-4092.00,Técnicos de ciencias forenses,"Recopilar, identificar, clasificar y analizar evidencia física relacionada con investigaciones criminales. Realice pruebas sobre armas o sustancias, como fibra, cabello y tejido para determinar la importancia para la investigación. Puede testificar como testigos expertos sobre pruebas o técnicas de laboratorio de delitos. Puede servir como especialistas en área de especialización, como balística, huellas digitales, escritura a mano o bioquímica.","Ocupaciones de la vida, física y de las ciencias sociales"
Quality Control Analysts,3,"Conduct tests to determine quality of raw materials, bulk intermediate and finished products. May conduct stability sample tests.","Life, Physical, and Social Science Occupations",19-4099.01,Analistas de control de calidad,"Realice pruebas para determinar la calidad de las materias primas, los productos intermedios y terminados a granel. Puede realizar pruebas de muestra de estabilidad.","Ocupaciones de la vida, física y de las ciencias sociales"
Remote Sensing Technicians,4,"Apply remote sensing technologies to assist scientists in areas such as natural resources, urban planning, or homeland security. May prepare flight plans or sensor configurations for flight trips.","Life, Physical, and Social Science Occupations",19-4099.03,Técnicos de teledetección,"Aplicar tecnologías de teledetección para ayudar a científicos en áreas como recursos naturales, planificación urbana o seguridad nacional. Puede preparar planes de vuelo o configuraciones de sensores para viajes de vuelo.","Ocupaciones de la vida, física y de las ciencias sociales"
Occupational Health and Safety Specialists,4,"Review, evaluate, and analyze work environments and design programs and procedures to control, eliminate, and prevent disease or injury caused by chemical, physical, and biological agents or ergonomic factors. May conduct inspections and enforce adherence to laws and regulations governing the health and safety of individuals. May be employed in the public or private sector.","Life, Physical, and Social Science Occupations",19-5011.00,Especialistas en salud y seguridad de la ocupación,"Revise, evalúe y analice los entornos de trabajo y los programas y procedimientos de diseño para controlar, eliminar y prevenir enfermedades o lesiones causadas por agentes químicos, físicos y biológicos o factores ergonómicos. Puede realizar inspecciones y hacer cumplir la adherencia a las leyes y reglamentos que rigen la salud y la seguridad de las personas. Puede emplearse en el sector público o privado.","Ocupaciones de la vida, física y de las ciencias sociales"
Occupational Health and Safety Technicians,3,"Collect data on work environments for analysis by occupational health and safety specialists. Implement and conduct evaluation of programs designed to limit chemical, physical, biological, and ergonomic risks to workers.","Life, Physical, and Social Science Occupations",19-5012.00,Técnicos de salud y seguridad ocupacionales,"Recopile datos sobre entornos de trabajo para el análisis por especialistas en salud y seguridad ocupacional. Implementar y realizar la evaluación de los programas diseñados para limitar los riesgos químicos, físicos, biológicos y ergonómicos para los trabajadores.","Ocupaciones de la vida, física y de las ciencias sociales"
Substance Abuse and Behavioral Disorder Counselors,5,"Counsel and advise individuals with alcohol, tobacco, drug, or other problems, such as gambling and eating disorders. May counsel individuals, families, or groups or engage in prevention programs.",Community and Social Service Occupations,21-1011.00,Abuso de sustancias y consejeros de trastorno conductual,"Aconsejar y asesorar a las personas con alcohol, tabaco, drogas u otros problemas, como los juegos de azar y los trastornos alimentarios. Puede aconsejar a las personas, las familias o los grupos o participar en programas de prevención.",Ocupaciones de servicios sociales y comunitarios
"Educational, Guidance, and Career Counselors and Advisors",5,Advise and assist students and provide educational and vocational guidance services.,Community and Social Service Occupations,21-1012.00,"Consejeros y asesores educativos, de orientación y profesionales",Asesorar y ayudar a los estudiantes y proporcionar servicios de orientación educativa y vocacional.,Ocupaciones de servicios sociales y comunitarios
Marriage and Family Therapists,5,"Diagnose and treat mental and emotional disorders, whether cognitive, affective, or behavioral, within the context of marriage and family systems. Apply psychotherapeutic and family systems theories and techniques in the delivery of services to individuals, couples, and families for the purpose of treating such diagnosed nervous and mental disorders.",Community and Social Service Occupations,21-1013.00,Terapeutas matrimoniales y familiares,"Diagnosticar y tratar los trastornos mentales y emocionales, ya sean cognitivos, afectivos o conductuales, dentro del contexto de los sistemas matrimoniales y familiares. Aplique teorías y técnicas de sistemas psicoterapéuticos y familiares en la prestación de servicios a individuos, parejas y familias con el propósito de tratar tales trastornos nerviosos y mentales diagnosticados.",Ocupaciones de servicios sociales y comunitarios
Mental Health Counselors,5,"Counsel and advise individuals and groups to promote optimum mental and emotional health, with an emphasis on prevention. May help individuals deal with a broad range of mental health issues, such as those associated with addictions and substance abuse; family, parenting, and marital problems; stress management; self-esteem; or aging.",Community and Social Service Occupations,21-1014.00,Consejeros de salud mental,"Consejar y aconsejar a las personas y grupos que promuevan una salud mental y emocional óptima, con énfasis en la prevención. Puede ayudar a las personas a lidiar con una amplia gama de problemas de salud mental, como las asociadas con adicciones y abuso de sustancias; Familia, crianza y problemas matrimoniales; manejo del estrés; autoestima; o envejecimiento.",Ocupaciones de servicios sociales y comunitarios
Rehabilitation Counselors,4,"Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, aging, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement.",Community and Social Service Occupations,21-1015.00,Consejeros de rehabilitación,"Aconseje a las personas que maximicen la independencia y la empleabilidad de las personas que enfrentan dificultades personales, sociales y vocacionales que resultan de defectos de nacimiento, enfermedades, enfermedades, accidentes, envejecimiento o el estrés de la vida diaria. Coordinar actividades para residentes de instalaciones de atención y tratamiento. Evaluar las necesidades y diseñar e implementar programas de rehabilitación que puedan incluir asesoramiento personal y vocacional, capacitación y colocación de empleo.",Ocupaciones de servicios sociales y comunitarios
"Child, Family, and School Social Workers",4,"Provide social services and assistance to improve the social and psychological functioning of children and their families and to maximize the family well-being and the academic functioning of children. May assist parents, arrange adoptions, and find foster homes for abandoned or abused children. In schools, they address such problems as teenage pregnancy, misbehavior, and truancy. May also advise teachers.",Community and Social Service Occupations,21-1021.00,"Trabajadores sociales para niños, familiares y escolares","Brindar servicios sociales y asistencia para mejorar el funcionamiento social y psicológico de los niños y sus familias y maximizar el bienestar familiar y el funcionamiento académico de los niños. Puede ayudar a los padres, organizar adopciones y encontrar hogares de acogida para niños abandonados o maltratados. En las escuelas, abordan problemas como el embarazo adolescente, el mal comportamiento y el absentismo. También puede aconsejar a los maestros.",Ocupaciones de servicios sociales y comunitarios
Healthcare Social Workers,5,"Provide individuals, families, and groups with the psychosocial support needed to cope with chronic, acute, or terminal illnesses. Services include advising family caregivers. Provide patients with information and counseling, and make referrals for other services. May also provide case and care management or interventions designed to promote health, prevent disease, and address barriers to access to healthcare.",Community and Social Service Occupations,21-1022.00,Trabajadores sociales de la salud,"Proporcionar a las personas, las familias y los grupos el apoyo psicosocial necesario para hacer frente a enfermedades crónicas, agudas o terminales. Los servicios incluyen asesoramiento de cuidadores familiares. Proporcione a los pacientes información y asesoramiento, y haga referencias para otros servicios. También puede proporcionar manejo de casos y atención o intervenciones diseñadas para promover la salud, prevenir enfermedades y abordar las barreras para el acceso a la atención médica.",Ocupaciones de servicios sociales y comunitarios
Mental Health and Substance Abuse Social Workers,5,"Assess and treat individuals with mental, emotional, or substance abuse problems, including abuse of alcohol, tobacco, and/or other drugs. Activities may include individual and group therapy, crisis intervention, case management, client advocacy, prevention, and education.",Community and Social Service Occupations,21-1023.00,Salud mental y abuso de sustancias trabajadores sociales,"Evaluar y tratar a las personas con problemas mentales, emocionales o de abuso de sustancias, incluido el abuso de alcohol, el tabaco y/u otras drogas. Las actividades pueden incluir terapia individual y grupal, intervención de crisis, manejo de casos, defensa del cliente, prevención y educación.",Ocupaciones de servicios sociales y comunitarios
Health Education Specialists,4,"Provide and manage health education programs that help individuals, families, and their communities maximize and maintain healthy lifestyles. Use data to identify community needs prior to planning, implementing, monitoring, and evaluating programs designed to encourage healthy lifestyles, policies, and environments. May link health systems, health providers, insurers, and patients to address individual and population health needs. May serve as resource to assist individuals, other health professionals, or the community, and may administer fiscal resources for health education programs.",Community and Social Service Occupations,21-1091.00,Especialistas en educación para la salud,"Proporcionar y administrar programas de educación para la salud que ayuden a las personas, las familias y sus comunidades a maximizar y mantener estilos de vida saludables. Use datos para identificar las necesidades de la comunidad antes de planificar, implementar, monitorear y evaluar programas diseñados para fomentar estilos de vida, políticas y entornos saludables. Puede vincular sistemas de salud, proveedores de salud, aseguradoras y pacientes para abordar las necesidades de salud individuales y de la población. Puede servir como recurso para ayudar a las personas, otros profesionales de la salud o la comunidad, y puede administrar recursos fiscales para programas de educación para la salud.",Ocupaciones de servicios sociales y comunitarios
Probation Officers and Correctional Treatment Specialists,4,"Provide social services to assist in rehabilitation of law offenders in custody or on probation or parole. Make recommendations for actions involving formulation of rehabilitation plan and treatment of offender, including conditional release and education and employment stipulations.",Community and Social Service Occupations,21-1092.00,Oficiales de libertad condicional y especialistas en tratamiento correccional,"Brindar servicios sociales para ayudar en la rehabilitación de los delincuentes legales bajo custodia o en libertad condicional o libertad condicional. Haga recomendaciones para acciones que involucren la formulación del plan de rehabilitación y el tratamiento del delincuente, incluidas las estipulaciones condicionales de liberación y educación y empleo.",Ocupaciones de servicios sociales y comunitarios
Social and Human Service Assistants,4,"Assist other social and human service providers in providing client services in a wide variety of fields, such as psychology, rehabilitation, or social work, including support for families. May assist clients in identifying and obtaining available benefits and social and community services. May assist social workers with developing, organizing, and conducting programs to prevent and resolve problems relevant to substance abuse, human relationships, rehabilitation, or dependent care.",Community and Social Service Occupations,21-1093.00,Asistentes de servicios sociales y humanos,"Ayude a otros proveedores de servicios sociales y humanos a proporcionar servicios al cliente en una amplia variedad de campos, como psicología, rehabilitación o trabajo social, incluido el apoyo a las familias. Puede ayudar a los clientes a identificar y obtener beneficios disponibles y servicios sociales y comunitarios. Puede ayudar a los trabajadores sociales a desarrollar, organizar y realizar programas para prevenir y resolver problemas relevantes para el abuso de sustancias, las relaciones humanas, la rehabilitación o la atención dependiente.",Ocupaciones de servicios sociales y comunitarios
Community Health Workers,4,"Promote health within a community by assisting individuals to adopt healthy behaviors. Serve as an advocate for the health needs of individuals by assisting community residents in effectively communicating with healthcare providers or social service agencies. Act as liaison or advocate and implement programs that promote, maintain, and improve individual and overall community health. May deliver health-related preventive services such as blood pressure, glaucoma, and hearing screenings. May collect data to help identify community health needs.",Community and Social Service Occupations,21-1094.00,Trabajadores de salud comunitaria,"Promover la salud dentro de una comunidad ayudando a las personas a adoptar comportamientos saludables. Servir como defensor de las necesidades de salud de las personas ayudando a los residentes de la comunidad a comunicarse de manera efectiva con proveedores de atención médica o agencias de servicios sociales. Actúe como enlace o defender e implementar programas que promuevan, mantengan y mejoren la salud de la comunidad individual y general. Puede brindar servicios preventivos relacionados con la salud, como presión arterial, glaucoma y exámenes auditivos. Puede recopilar datos para ayudar a identificar las necesidades de salud de la comunidad.",Ocupaciones de servicios sociales y comunitarios
Clergy,5,Conduct religious worship and perform other spiritual functions associated with beliefs and practices of religious faith or denomination. Provide spiritual and moral guidance and assistance to members.,Community and Social Service Occupations,21-2011.00,Clero,Realice la adoración religiosa y realice otras funciones espirituales asociadas con creencias y prácticas de fe o denominación religiosa. Proporcione orientación y asistencia espirituales y morales a los miembros.,Ocupaciones de servicios sociales y comunitarios
"Directors, Religious Activities and Education",4,"Coordinate or design programs and conduct outreach to promote the religious education or activities of a denominational group. May provide counseling, guidance, and leadership relative to marital, health, financial, and religious problems.",Community and Social Service Occupations,21-2021.00,"Directores, actividades religiosas y educación","Coordinar o diseñar programas y realizar divulgaciones para promover la educación religiosa o las actividades de un grupo denominacional. Puede proporcionar asesoramiento, orientación y liderazgo en relación con los problemas matrimoniales, de salud, financieros y religiosos.",Ocupaciones de servicios sociales y comunitarios
Lawyers,5,"Represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, or manage or advise clients on legal transactions. May specialize in a single area or may practice broadly in many areas of law.",Legal Occupations,23-1011.00,Abogados,"Representar a clientes en litigios penales y civiles y otros procedimientos legales, elaborar documentos legales, o administrar o asesorar a los clientes sobre transacciones legales. Puede especializarse en una sola área o puede practicar ampliamente en muchas áreas de derecho.",Ocupaciones legales
Judicial Law Clerks,5,Assist judges in court or by conducting research or preparing legal documents.,Legal Occupations,23-1012.00,Empleados de la ley judicial,Ayudar a jueces en la corte o realizando investigaciones o preparando documentos legales.,Ocupaciones legales
"Administrative Law Judges, Adjudicators, and Hearing Officers",5,"Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements.",Legal Occupations,23-1021.00,"Jueces de derecho administrativo, jueces y oficiales de audiencia","Realice audiencias para recomendar o tomar decisiones sobre reclamos relacionados con programas gubernamentales u otros asuntos relacionados con el gobierno. Determine la responsabilidad, las sanciones o las sanciones, o recomiende la aceptación o rechazo de reclamos o acuerdos.",Ocupaciones legales
"Arbitrators, Mediators, and Conciliators",5,Facilitate negotiation and conflict resolution through dialogue. Resolve conflicts outside of the court system by mutual consent of parties involved.,Legal Occupations,23-1022.00,"Árbitros, mediadores y conciliadores",Facilitar la negociación y la resolución de conflictos a través del diálogo. Resuelva conflictos fuera del sistema judicial por consentimiento mutuo de las partes involucradas.,Ocupaciones legales
"Judges, Magistrate Judges, and Magistrates",5,"Arbitrate, advise, adjudicate, or administer justice in a court of law. May sentence defendant in criminal cases according to government statutes or sentencing guidelines. May determine liability of defendant in civil cases. May perform wedding ceremonies.",Legal Occupations,23-1023.00,"Jueces, jueces magistrados y magistrados","Arbitrar, asesorar, juzgar o administrar justicia en un tribunal de justicia. Puede sentenciar al demandado en casos penales de acuerdo con los estatutos gubernamentales o las pautas de sentencia. Puede determinar la responsabilidad del demandado en casos civiles. Puede realizar ceremonias de boda.",Ocupaciones legales
Paralegals and Legal Assistants,3,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",Legal Occupations,23-2011.00,Asistentes legales y asistentes legales,"Ayudar a los abogados investigando hechos, preparando documentos legales o investigando precedentes legales. Realizar investigaciones para apoyar un procedimiento legal, formular una defensa o iniciar acciones legales.",Ocupaciones legales
"Title Examiners, Abstractors, and Searchers",2,"Search real estate records, examine titles, or summarize pertinent legal or insurance documents or details for a variety of purposes. May compile lists of mortgages, contracts, and other instruments pertaining to titles by searching public and private records for law firms, real estate agencies, or title insurance companies.",Legal Occupations,23-2093.00,"Examinadores de títulos, abstractores y buscadores","Busque registros inmobiliarios, examine los títulos o resume los documentos legales o de seguro pertinentes o detalles para una variedad de fines. Puede compilar listas de hipotecas, contratos y otros instrumentos relacionados con títulos buscando registros públicos y privados para firmas de abogados, agencias de bienes raíces o compañías de seguros de títulos.",Ocupaciones legales
"Business Teachers, Postsecondary",5,"Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations,25-1011.00,"Maestros de negocios, postsecundario","Enseñe cursos en administración y administración de empresas, como contabilidad, finanzas, recursos humanos, relaciones laborales e industriales, marketing e investigación de operaciones. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.",Instrucción educativa y ocupaciones de la biblioteca
"Computer Science Teachers, Postsecondary",5,"Teach courses in computer science. May specialize in a field of computer science, such as the design and function of computers or operations and research analysis. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations,25-1021.00,"Profesores de ciencias de la computación, postsecundario","Enseñar cursos en informática. Puede especializarse en un campo de informática, como el diseño y la función de las computadoras u operaciones y el análisis de investigación. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.",Instrucción educativa y ocupaciones de la biblioteca
"Mathematical Science Teachers, Postsecondary",5,"Teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations,25-1022.00,"Maestros de ciencias matemáticas, postsecundario","Enseñe cursos relacionados con conceptos matemáticos, estadísticas y ciencias actuariales y a la aplicación de técnicas matemáticas originales y estandarizadas para resolver problemas y situaciones específicas. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.",Instrucción educativa y ocupaciones de la biblioteca
"Architecture Teachers, Postsecondary",5,"Teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations,25-1031.00,"Maestros de arquitectura, postsecundario","Enseñe cursos de arquitectura y diseño arquitectónico, como diseño ambiental arquitectónico, arquitectura/diseño interior y arquitectura del paisaje. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.",Instrucción educativa y ocupaciones de la biblioteca
"Engineering Teachers, Postsecondary",5,"Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations,25-1032.00,"Maestros de ingeniería, postsecundario","Enseñe cursos relacionados con la aplicación de leyes y principios físicos de ingeniería para el desarrollo de máquinas, materiales, instrumentos, procesos y servicios. Incluye maestros de materias como la ingeniería química, civil, eléctrica, industrial, mecánica, mineral y de petróleo. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.",Instrucción educativa y ocupaciones de la biblioteca
"Agricultural Sciences Teachers, Postsecondary",5,"Teach courses in the agricultural sciences. Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations,25-1041.00,"Maestros de ciencias agrícolas, postsecundario","Enseñar cursos en las ciencias agrícolas. Incluye maestros de agronomía, ciencias de las lecherías, gestión de la pesca, ciencias hortícolas, ciencias de las aves de corral, manejo de rango y conservación del suelo agrícola. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.",Instrucción educativa y ocupaciones de la biblioteca
"Biological Science Teachers, Postsecondary",5,Teach courses in biological sciences. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations,25-1042.00,"Profesores de ciencias biológicas, postsecundarias",Enseñar cursos en ciencias biológicas. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.,Instrucción educativa y ocupaciones de la biblioteca
"Forestry and Conservation Science Teachers, Postsecondary",5,Teach courses in forestry and conservation science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations,25-1043.00,"Profesores de ciencias forestales y de conservación, postsecundario",Enseñar cursos en ciencias forestales y de conservación. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.,Instrucción educativa y ocupaciones de la biblioteca
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",5,"Teach courses in the physical sciences, except chemistry and physics. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.",Educational Instruction and Library Occupations,25-1051.00,"Maestros de ciencias atmosféricas, de tierra, marina y espacial, postsecundario","Enseñe cursos en ciencias físicas, excepto la química y la física. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.",Instrucción educativa y ocupaciones de la biblioteca
"Chemistry Teachers, Postsecondary",5,"Teach courses pertaining to the chemical and physical properties and compositional changes of substances. Work may include providing instruction in the methods of qualitative and quantitative chemical analysis. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.",Educational Instruction and Library Occupations,25-1052.00,"Maestros de química, postsecundario",Enseñe cursos relacionados con las propiedades químicas y físicas y los cambios compositivos de las sustancias. El trabajo puede incluir proporcionar instrucción en los métodos de análisis químico cualitativo y cuantitativo. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.,Instrucción educativa y ocupaciones de la biblioteca
"Environmental Science Teachers, Postsecondary",5,Teach courses in environmental science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations,25-1053.00,"Profesores de ciencias ambientales, postsecundario",Enseñar cursos en ciencias ambientales. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.,Instrucción educativa y ocupaciones de la biblioteca
"Physics Teachers, Postsecondary",5,Teach courses pertaining to the laws of matter and energy. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations,25-1054.00,"Profesores de física, postsecundario",Enseñe cursos relacionados con las leyes de la materia y la energía. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.,Instrucción educativa y ocupaciones de la biblioteca
"Anthropology and Archeology Teachers, Postsecondary",5,Teach courses in anthropology or archeology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations,25-1061.00,"Maestros de antropología y arqueología, postsecundario",Enseñar cursos en antropología o arqueología. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.,Instrucción educativa y ocupaciones de la biblioteca
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",5,"Teach courses pertaining to the culture and development of an area, an ethnic group, or any other group, such as Latin American studies, women's studies, or urban affairs. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations,25-1062.00,"Maestros de área, étnicos y culturales, postsecundario","Enseñe cursos relacionados con la cultura y el desarrollo de un área, un grupo étnico o cualquier otro grupo, como estudios latinoamericanos, estudios de mujeres o asuntos urbanos. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.",Instrucción educativa y ocupaciones de la biblioteca
"Economics Teachers, Postsecondary",5,Teach courses in economics. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations,25-1063.00,"Maestros de economía, postsecundario",Enseñar cursos en economía. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.,Instrucción educativa y ocupaciones de la biblioteca
"Geography Teachers, Postsecondary",5,Teach courses in geography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations,25-1064.00,"Maestros de geografía, postsecundario",Enseñar cursos en geografía. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.,Instrucción educativa y ocupaciones de la biblioteca
"Political Science Teachers, Postsecondary",5,"Teach courses in political science, international affairs, and international relations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations,25-1065.00,"Profesores de ciencias políticas, postsecundario","Enseñar cursos en ciencias políticas, asuntos internacionales y relaciones internacionales. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.",Instrucción educativa y ocupaciones de la biblioteca
"Psychology Teachers, Postsecondary",5,"Teach courses in psychology, such as child, clinical, and developmental psychology, and psychological counseling. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations,25-1066.00,"Maestros de psicología, postsecundario","Enseñe cursos de psicología, como la psicología infantil, clínica y del desarrollo, y el asesoramiento psicológico. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.",Instrucción educativa y ocupaciones de la biblioteca
"Sociology Teachers, Postsecondary",5,Teach courses in sociology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations,25-1067.00,"Maestros de sociología, postsecundario",Enseñar cursos en sociología. Incluye ambos maestros comprometidos principalmente en la enseñanza y aquellos que hacen una combinación de enseñanza e investigación.,Instrucción educativa y ocupaciones de la biblioteca
"Health Specialties Teachers, Postsecondary",5,"Teach courses in health specialties, in fields such as dentistry, laboratory technology, medicine, pharmacy, public health, therapy, and veterinary medicine.",Educational Instruction and Library Occupations,25-1071.00,"Maestros de especialidades de salud, postsecundario","Enseñar cursos en especialidades de salud, en campos como odontología, tecnología de laboratorio, medicina, farmacia, salud pública, terapia y medicina veterinaria.",Instrucción educativa y ocupaciones de la biblioteca
