Title,dutch_title,Job Zone,Description,dutch_description,Domain,dutch_domain,O*NET-SOC Code
Financial and Investment Analysts,Financiële en beleggingsanalisten,4,"Conduct quantitative analyses of information involving investment programs or financial data of public or private institutions, including valuation of businesses.","Kwantitatieve analyses uitvoeren van informatie waarbij beleggingsprogramma's of financiële gegevens van openbare of particuliere instellingen zijn betrokken, inclusief waardering van bedrijven.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-2051.00
Personal Financial Advisors,Persoonlijke financiële adviseurs,4,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients.","Klanten adviseren over financiële plannen met behulp van kennis van belasting- en beleggingsstrategieën, effecten, verzekering, pensioenregelingen en onroerend goed. Taken omvatten het beoordelen van de activa van klanten, aansprakelijkheden, kasstroom, verzekeringsdekking, belastingstatus en financiële doelstellingen. Kan ook financiële activa kopen en verkopen voor klanten.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-2052.00
Insurance Underwriters,Verzekeringsverzekeraars,4,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.,Beoordeel individuele aanvragen voor verzekering om de betrokken risico te evalueren en de acceptatie van aanvragen te bepalen.,Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-2053.00
Financial Risk Specialists,Financieel risicospecialisten,4,"Analyze and measure exposure to credit and market risk threatening the assets, earning capacity, or economic state of an organization. May make recommendations to limit risk.","Analyseer en meet blootstelling aan krediet- en marktrisico die de activa, verdiencapaciteit of economische staat van een organisatie bedreigt. Kan aanbevelingen doen om het risico te beperken.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-2054.00
Financial Examiners,Financieel examinatoren,4,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records.","Handhaven of waarborgen van naleving van wetten en voorschriften voor financiële en effecteninstellingen en financiële en onroerendgoedtransacties. Kan records onderzoeken, verifiëren of verifiëren.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-2061.00
Credit Counselors,Kredietadviseurs,4,"Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explain loan requirements or restrictions. May help develop debt management plans or student financial aid packages. May advise on credit issues, or provide budget, mortgage, bankruptcy, or student financial aid counseling.","Advies en informeer individuen of organisaties over het verwerven en beheren van schulden. Kan richtlijnen bieden bij het bepalen van het beste type lening en het verklaren van leningseisen of beperkingen. Kan helpen bij het ontwikkelen van schuldenbeheerplannen of financiële hulpverleners van studenten. Kan adviseren over kredietkwesties of budget, hypotheek, faillissement of financiële hulpadvies voor studenten verstrekken.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-2071.00
Loan Officers,Leningsfunctionarissen,4,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, loan underwriters, and payday loan officers.","Evalueer, autoriseren of bevelen goedkeuring van commerciële, onroerend goed of kredietleningen aan. Adviseer leners over financiële status en betalingsmethoden. Inclusief functionarissen en agenten van hypotheekleningen, inzamelingsanalisten, dienstverlenende functionarissen van leningen, leningverzekeraars en betaaldagleningfunctionarissen.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-2072.00
"Tax Examiners and Collectors, and Revenue Agents","Belastingexaminatoren en verzamelaars, en inkomstenagenten",3,Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.,Bepaal belastingverplichting of innen belastingen van particulieren of bedrijfsbedrijven volgens voorgeschreven wet- en voorschriften.,Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-2081.00
Tax Preparers,Belastingvoorbereiders,3,Prepare tax returns for individuals or small businesses.,Bereid belastingaangiften op voor particulieren of kleine bedrijven.,Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-2082.00
Financial Quantitative Analysts,Financiële kwantitatieve analisten,5,"Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis.","Ontwikkel kwantitatieve technieken om effectenbelegging, aandelenbeleggen, prijzen of waardering van financiële instrumenten te informeren. Ontwikkel wiskundige of statistische modellen voor risicobeheer, activa -optimalisatie, prijzen of relatieve waardeanalyse.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-2099.01
"Fraud Examiners, Investigators and Analysts","Fraude -examinatoren, onderzoekers en analisten",4,"Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities.","Bewijs verkrijgen, verklaringen afleggen, rapporten produceren en getuigen van bevindingen met betrekking tot de oplossing van beschuldigingen van fraude. Kan fraude -detectie- en preventieactiviteiten coördineren.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-2099.04
Computer Systems Analysts,Analisten van computersystemen,4,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.","Analyseer wetenschaps-, engineering-, zakelijke en andere gegevensverwerkingsproblemen om oplossingen te ontwikkelen en te implementeren voor complexe toepassingen, problemen met systeembeheer of netwerkproblemen. Voer systeembeheer- en integratiefuncties uit, verbeter bestaande computersystemen en beoordeel computersysteemmogelijkheden, workflow en planningsbeperkingen. Kan commercieel beschikbare software analyseren of aanbevelen.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1211.00
Health Informatics Specialists,Gezondheidsinformatica specialisten,4,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.","Breng kennis van verpleegkunde en informatica toe om te helpen bij het ontwerp, de ontwikkeling en de voortdurende wijziging van geautomatiseerde gezondheidszorgsystemen. Kan personeel opleiden en helpen bij het oplossen van problemen om de implementatie van het gezondheidszorgsysteem te bevorderen.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1211.01
Information Security Analysts,Informatiebeveiligingsanalisten,4,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.","Plan, implementeer, upgrade of bewaakt beveiligingsmaatregelen voor de bescherming van computernetwerken en informatie. Beoordeel kwetsbaarheden van het systeem voor beveiligingsrisico's en stel voor en implementeer strategieën voor risicobeperking. Kan ervoor zorgen dat er passende beveiligingscontroles zijn die digitale bestanden en vitale elektronische infrastructuur zullen beschermen. Kan reageren op brekers en virussen van computerbeveiliging.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1212.00
Computer and Information Research Scientists,Wetenschappers van computer- en informatieonderzoek,5,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.","Onderzoek doen naar fundamentele computer- en informatiewetenschap als theoretici, ontwerpers of uitvinders. Ontwikkel oplossingen voor problemen op het gebied van computerhardware en software.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1221.00
Computer Network Support Specialists,Computernetwerkondersteuningspecialisten,4,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.","Analyseer, test, probleemoplossing en evalueren bestaande netwerksystemen, zoals Local Area Networks (LAN), Wide Area Networks (WAN), cloudnetwerken, servers en andere datacommunicatienetwerken. Netwerkonderhoud uitvoeren om ervoor te zorgen dat netwerken correct werken met minimale onderbreking.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1231.00
Computer User Support Specialists,Computergebruikersondersteuning specialisten,3,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.","Bied technische assistentie aan computergebruikers. Beantwoord vragen of los computerproblemen voor klanten persoonlijk, telefonisch of elektronisch op. Kan hulp bieden met betrekking tot het gebruik van computerhardware en software, inclusief afdrukken, installatie, tekstverwerking, elektronische e -mail en besturingssystemen.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1232.00
Computer Network Architects,Computernetwerkarchitecten,4,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software.","Ontwerp en implementeer computer- en informatienetwerken, zoals Local Area Networks (LAN), Wide Area Networks (WAN), intranetten, extranetten en andere datacommunicatienetwerken. Netwerkmodellering, analyse en planning uitvoeren, inclusief analyse van capaciteitsbehoeften voor netwerkinfrastructuren. Kan ook netwerk- en computerbeveiligingsmaatregelen ontwerpen. Kan onderzoek en software en software voor netwerk- en datacommunicatie onderzoeken en aanbevelen.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1241.00
Telecommunications Engineering Specialists,Telecommunicatie -engineering specialisten,3,"Design or configure wired, wireless, and satellite communications systems for voice, video, and data services. Supervise installation, service, and maintenance.","Ontwerp of configureer bekabelde, draadloze en satellietcommunicatiesystemen voor spraak-, video- en gegevensservices. Begeleide installatie, service en onderhoud toezicht.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1241.01
Database Administrators,Databasebeheerders,4,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases.","Beheer, test en implementeer computdatabases, het toepassen van kennis van databasebeheersystemen. Coördineer wijzigingen in computerdatabases. Identificeer, onderzoek en lost de databaseprestatieproblemen, databasecapaciteit en database -schaalbaarheid op. Kan beveiligingsmaatregelen plannen, coördineren en implementeren om computdatabases te beschermen.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1242.00
Database Architects,Database -architecten,4,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.","Ontwerpstrategieën voor enterprise -databases, datawarehouse -systemen en multidimensionale netwerken. Stel standaarden in voor database -bewerkingen, programmering, queryprocessen en beveiliging. Model, ontwerpen en construeren grote relationele databases of datawarehouses. Creëer en optimaliseer gegevensmodellen voor magazijninfrastructuur en workflow. Integreer nieuwe systemen met bestaande magazijnstructuur en verfijnen systeemprestaties en functionaliteit.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1243.00
Data Warehousing Specialists,Data Warehousing specialisten,4,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.","Ontwerp, model of implementeer bedrijfsdata -warehousing -activiteiten. Programma en configureer magazijnen van database -informatie en bieden ondersteuning aan magazijngebruikers.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1243.01
Network and Computer Systems Administrators,Beheerders van netwerk- en computersystemen,4,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.","Installeer, configureer en onderhoud het Local Area Network (LAN) van een organisatie, Wide Area Network (WAN), datacommunicatienetwerk, besturingssystemen en fysieke en virtuele servers. Voer systeembewaking uit en verifieer de integriteit en beschikbaarheid van hardware-, netwerk- en serverbronnen en -systemen. Bekijk systeem- en toepassingslogboeken en verifieer de voltooiing van geplande taken, inclusief systeemback -ups. Analyseer netwerk- en serverbronnenverbruik en controle gebruikerstoegang. Installeer en upgrade software en onderhoud softwarelicenties. Kan helpen bij netwerkmodellering, analyse, planning en coördinatie tussen netwerk- en datacommunicatiehardware en software.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1244.00
Computer Programmers,Computer programmeurs,4,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.","Maak, wijzig en test de code en scripts waarmee computertoepassingen kunnen worden uitgevoerd. Werk vanuit specificaties opgesteld door software en webontwikkelaars of andere personen. Kan computerprogramma's ontwikkelen en schrijven om specifieke documenten, gegevens en informatie op te slaan, te vinden en op te halen.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1251.00
Software Developers,Software ontwikkelaars,4,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","Onderzoek, ontwerpen en ontwikkelen van computer- en netwerksoftware of gespecialiseerde hulpprogramma's. Analyseer gebruikersbehoeften en ontwikkel softwareoplossingen, het toepassen van principes en technieken van informatica, engineering en wiskundige analyse. Software bijwerken of bestaande softwaremogelijkheden verbeteren. Kan samenwerken met computerhardware -ingenieurs om hardware- en softwaresystemen te integreren en specificaties en prestatie -eisen te ontwikkelen. Kan databases in een applicatiegebied handhaven, individueel werken of database -ontwikkeling coördineren als onderdeel van een team.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1252.00
Software Quality Assurance Analysts and Testers,Softwarekwaliteitsborgingsanalisten en testers,4,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.","Softwaretests ontwikkelen en uitvoeren om softwareproblemen en hun oorzaken te identificeren. Wijzigingen van het testsysteem om zich voor te bereiden op de implementatie. Document software en applicatie -defecten met behulp van een bug -trackingsysteem en rapporteren defecten aan software of webontwikkelaars. Creëer en onderhoud databases van bekende defecten. Kan deelnemen aan softwareontwerprecensies om input te bieden over functionele vereisten, operationele kenmerken, productontwerpen en schema's.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1253.00
Web Developers,Webontwikkelaars,3,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","Websites, webapplicaties, applicatiedatabases en interactieve webinterfaces ontwikkelen en implementeren. Evalueer de code om ervoor te zorgen dat deze correct is gestructureerd, voldoet aan de industrienormen en is compatibel met browsers en apparaten. Optimaliseer de website-prestaties, schaalbaarheid en server-side code en processen. Kan website -infrastructuur ontwikkelen en websites integreren met andere computerapplicaties.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1254.00
Web and Digital Interface Designers,Web- en digitale interfaceontwerpers,4,"Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web and accessibility standards, and may analyze web use metrics and optimize websites for marketability and search engine ranking. May design and test interfaces that facilitate the human-computer interaction and maximize the usability of digital devices, websites, and software with a focus on aesthetics and design. May create graphics used in websites and manage website content and links.","Ontwerp digitale gebruikersinterfaces of websites. Ontwikkel en test lay -outs, interfaces, functionaliteit en navigatiemenu's om compatibiliteit en bruikbaarheid tussen browsers of apparaten te waarborgen. Kan webframework-applicaties gebruiken, evenals client-side code en processen. Kan webontwerp evalueren na web- en toegankelijkheidsnormen, en kan webgebruikstatistieken analyseren en websites optimaliseren voor verkoopbaarheid en zoekmachine rangschikking. Kan interfaces ontwerpen en testen die de interactie tussen mens en computer vergemakkelijken en de bruikbaarheid van digitale apparaten, websites en software maximaliseren met een focus op esthetiek en ontwerp. Kan graphics maken die op websites worden gebruikt en website -inhoud en links beheren.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1255.00
Video Game Designers,Ontwerpers van videogames,4,"Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed.","Ontwerp kernfuncties van videogames. Geef innovatieve game- en rollenspel mechanica, verhaallijnen en karakterbiografieën op. Maak ontwerpdocumentatie maken en onderhouden. Gids en werk samen met productiepersoneel om games te produceren zoals ontworpen.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1255.01
Web Administrators,Webbeheerders,4,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.","Beheer Web Environment Design, Implementatie, ontwikkeling en onderhoudsactiviteiten. Voer testen en kwaliteitsborging uit van websites en webtoepassingen.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1299.01
Geographic Information Systems Technologists and Technicians,Geografische informatiesystemen technologen en technici,4,"Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.","Wetenschappers of aanverwante professionals helpen bij het bouwen, onderhouden, wijzigen of gebruiken van geografische informatiesystemen (GIS) databases. Kan ook een aantal aangepaste applicatie -ontwikkeling uitvoeren of gebruikersondersteuning bieden.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1299.02
Document Management Specialists,Specialisten in documentbeheer,4,"Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.","Implementeren en beheren van enterprise-brede documentbeheersystemen en gerelateerde procedures waarmee organisaties elektronische gegevens en documenten kunnen vastleggen, opslaan, ophalen, delen en vernietigen.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1299.03
Penetration Testers,Penetratietesters,4,Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.,Evalueer netwerksysteembeveiliging door gesimuleerde interne en externe cyberaanvallen uit te voeren met behulp van tegenstanders en technieken. Probeer kritieke systemen te doorbreken en te exploiteren en toegang te krijgen tot gevoelige informatie om systeembeveiliging te beoordelen.,Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1299.04
Information Security Engineers,Informatiebeveiliging ingenieurs,4,"Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to identify vulnerabilities and protect digital files and electronic infrastructures. Monitor and respond to computer security breaches, viruses, and intrusions, and perform forensic investigation. May oversee the assessment of information security systems.","Ontwikkel en houd toezicht op de implementatie van informatiebeveiligingsprocedures en -beleid. Beveiligingstechnologie bouwen, onderhouden en upgraden, zoals firewalls, voor het veilige gebruik van computernetwerken en de transmissie en het ophalen van informatie. Ontwerp en implementeer geschikte beveiligingscontroles om kwetsbaarheden te identificeren en digitale bestanden en elektronische infrastructuren te beschermen. Controleer en reageer op breuken, virussen en intrusies van computerbeveiliging en voer forensisch onderzoek uit. Kan toezicht houden op de beoordeling van informatiebeveiligingssystemen.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1299.05
Digital Forensics Analysts,Digitale forensische analisten,4,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.","Onderzoek uitvoeren naar computergebaseerde misdaden die documentaire of fysiek bewijs vaststellen, zoals digitale media en logboeken geassocieerd met cyberinbreukincidenten. Analyseer digitaal bewijs en onderzoek computerbeveiligingsincidenten om informatie af te leiden ter ondersteuning van de beperking van het systeem- en netwerkkwetsbaarheid. Behoud en presenteer computergerelateerd bewijs ter ondersteuning van criminele, fraude, contra-inlichtingen of wetshandhavingsonderzoeken.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1299.06
Blockchain Engineers,Blockchain -ingenieurs,4,"Maintain and support distributed and decentralized blockchain-based networks or block-chain applications such as cryptocurrency exchange, payment processing, document sharing, and digital voting. Design and deploy secure block-chain design patterns and solutions over geographically distributed networks using advanced technologies. May assist with infrastructure setup and testing for application transparency and security.","Onderhoud en ondersteuning van gedistribueerde en gedecentraliseerde blockchain-gebaseerde netwerken of block-chain-applicaties zoals cryptocurrency-uitwisseling, betalingsverwerking, documentverdeling en digitaal stemmen. Ontwerp en implementeer veilige blokketenontwerppatronen en oplossingen over geografisch gedistribueerde netwerken met behulp van geavanceerde technologieën. Kan helpen bij het instellen en testen van infrastructuur en testen op transparantie en beveiliging van applicaties.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1299.07
Computer Systems Engineers/Architects,Engineers/architecten van computersystemen,4,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.","Ontwerp en ontwikkel oplossingen voor complexe toepassingenproblemen, problemen met systeembeheer of netwerkproblemen. Voer systeembeheer- en integratiefuncties uit.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1299.08
Information Technology Project Managers,Informatietechnologie projectmanagers,4,"Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.","Plan, initiëren en beheren van informatietechnologie (IT) -projecten. Leid en leid het werk van technisch personeel. Dienen als contactpersoon tussen zakelijke en technische aspecten van projecten. Plan projectfasen en beoordeel zakelijke implicaties voor elke fase. Monitor de voortgang om deadlines, normen en kostendoelen te verzekeren.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-1299.09
Actuaries,Actuarissen,4,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.","Analyseer statistische gegevens, zoals sterfte, ongevallen, ziekte, handicap en pensioencijfers en constructiestabellen om risico's en aansprakelijkheid te voorspellen voor de betaling van toekomstige voordelen. Kan de vereiste verzekeringstarieven vaststellen en contante reserves die nodig zijn om de betaling van toekomstige voordelen te waarborgen.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-2011.00
Mathematicians,Wiskundigen,5,"Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods.","Onderzoek uitvoeren in fundamentele wiskunde of bij de toepassing van wiskundige technieken op wetenschap, management en andere gebieden. Los problemen op in verschillende gebieden met behulp van wiskundige methoden.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-2021.00
Operations Research Analysts,Operations Research Analysts,5,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.","Formuleer en pas wiskundige modellering en andere optimaliserende methoden toe om informatie te ontwikkelen en te interpreteren die management helpt bij besluitvorming, beleidsformulering of andere managementfuncties. Kan gegevens verzamelen en analyseren en beslissingsondersteunende software, services of producten ontwikkelen. Kan optimale tijd-, kosten- of logistieke netwerken ontwikkelen en leveren voor programma -evaluatie, beoordeling of implementatie.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-2031.00
Statisticians,Statistians,5,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.","Ontwikkel of pas wiskundige of statistische theorie en methoden toe om numerieke gegevens te verzamelen, te organiseren, te interpreteren en samen te vatten om bruikbare informatie te verstrekken. Kan gespecialiseerd zijn in gebieden zoals biostatistieken, landbouwstatistieken, bedrijfsstatistieken of economische statistieken. Bevat wiskundige en enquêtestatistici.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-2041.00
Biostatisticians,Biostatisticians,5,Develop and apply biostatistical theory and methods to the study of life sciences.,Ontwikkel en pas biostatistische theorie en methoden toe op de studie van levenswetenschappen.,Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-2041.01
Data Scientists,Datawetenschappers,4,"Develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software. Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze information from large structured and unstructured datasets. Visualize, interpret, and report data findings. May create dynamic data reports.","Ontwikkel en implementeer een set technieken of analysetoepassingen om onbewerkte gegevens om te zetten in zinvolle informatie met behulp van gegevensgerichte programmeertalen en visualisatiesoftware. Pas datamining, datamodellering, natuurlijke taalverwerking en machine learning toe om informatie uit grote gestructureerde en ongestructureerde gegevenssets te extraheren en te analyseren. Visualiseer, interpreteer en rapporteer gegevensbevindingen. Kan dynamische gegevensrapporten maken.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-2051.00
Business Intelligence Analysts,Business Intelligence -analisten,4,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,Financiële en marktinformatie produceren door gegevensrepositories op te vragen en periodieke rapporten te genereren. Bedenken methoden voor het identificeren van gegevenspatronen en trends in beschikbare informatiebronnen.,Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-2051.01
Clinical Data Managers,Klinische gegevensbeheerders,4,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",Pas kennis van gezondheidszorg en databasebeheer toe om klinische gegevens te analyseren en om trends te identificeren en te rapporteren.,Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-2051.02
Bioinformatics Technicians,Bio -informatica -technici,4,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.","Pas principes en methoden van bioinformatica toe om wetenschappers te helpen op gebieden zoals farmaceutische producten, medische technologie, biotechnologie, computationele biologie, proteomics, computerinformatiewetenschappen, biologie en medische informatica. Pas bioinformatica -tools toe om moleculaire gegevens te visualiseren, te analyseren, te manipuleren of te interpreteren. Kan databases bouwen en onderhouden voor het verwerken en analyseren van genomische of andere biologische informatie.",Computer and Mathematical Occupations,Computer- en wiskundige beroepen,15-2099.01
"Architects, Except Landscape and Naval","Architecten, behalve landschap en marine",5,"Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property.","Plan- en ontwerpstructuren, zoals particuliere woningen, kantoorgebouwen, theaters, fabrieken en andere structurele eigendommen.",Architecture and Engineering Occupations,Architectuur- en technische beroepen,17-1011.00
Landscape Architects,Landschapsarchitecten,4,"Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites.","Plan en ontwerpen landgebieden voor projecten zoals parken en andere recreatieve faciliteiten, luchthavens, snelwegen, ziekenhuizen, scholen, landonderverdelingen en commerciële, industriële en residentiële locaties.",Architecture and Engineering Occupations,Architectuur- en technische beroepen,17-1012.00
