Title,Job Zone,Description,Domain,O*NET-SOC Code,german_title,german_description,german_domain
Surveyors,4,"Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes.",Architecture and Engineering Occupations,17-1022.00,Vermesser,"Nehmen Sie genaue Messungen vor und bestimmen Sie Eigenschaftsgrenzen. Geben Sie Daten an, die für die Form, Kontur, Gravitation, Ort, Erhebung oder Dimension von Land- oder Landmerkmalen auf oder in der Nähe der Erdoberfläche für Engineering, Kartemaker, Bergbau, Landbewertung, Bau und andere Zwecke relevant sind.",Architektur und technische Berufe
Geodetic Surveyors,4,"Measure large areas of the Earth's surface using satellite observations, global navigation satellite systems (GNSS), light detection and ranging (LIDAR), or related sources.",Architecture and Engineering Occupations,17-1022.01,Geodätische Vermesser,"Messen Sie große Bereiche der Erdoberfläche unter Verwendung von Satellitenbeobachtungen, globalen Navigationssatellitensystemen (GNSS), Lichterkennung und Rangliste (LIDAR) oder verwandten Quellen.",Architektur und technische Berufe
Aerospace Engineers,4,"Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.",Architecture and Engineering Occupations,17-2011.00,Luft- und Raumfahrtingenieure,"Führen Sie technische Aufgaben beim Entwerfen, Bau und Testflugzeug, Raketen und Raumschiff aus. Kann grundlegende und angewandte Forschung durchführen, um die Anpassungsfähigkeit von Materialien und Geräten an das Design und die Herstellung von Flugzeugen zu bewerten. Kann Verbesserungen bei Testgeräten und -techniken empfehlen.",Architektur und technische Berufe
Agricultural Engineers,4,"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.",Architecture and Engineering Occupations,17-2021.00,Agraringenieure,"Anwenden Sie Kenntnisse über technische Technologie und biologische Wissenschaft auf landwirtschaftliche Probleme, die sich mit Strom und Maschinen, Elektrifizierung, Strukturen, Boden- und Wasserschutz sowie Verarbeitung landwirtschaftlicher Produkte befassen.",Architektur und technische Berufe
Bioengineers and Biomedical Engineers,4,"Apply knowledge of engineering, biology, chemistry, computer science, and biomechanical principles to the design, development, and evaluation of biological, agricultural, and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems.",Architecture and Engineering Occupations,17-2031.00,Bioengineer und Biomedizinische Ingenieure,"Anwenden von Wissen über Ingenieurwesen, Biologie, Chemie, Informatik und biomechanische Prinzipien auf die Gestaltung, Entwicklung und Bewertung von biologischen, landwirtschaftlichen und Gesundheitssystemen und -produkten wie künstlichen Organen, Prothesen, Instrumentierung, medizinischen Informationssystemen und Gesundheitsmanagement und Pflegedeliefersysteme.",Architektur und technische Berufe
Chemical Engineers,4,"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering.",Architecture and Engineering Occupations,17-2041.00,Chemieingenieure,"Entwurf chemischer Anlagengeräte und Entwicklungsverfahren zur Herstellung von Chemikalien und Produkten wie Benzin, Synthetikkautschuk, Kunststoff, Reinigungsmitteln, Zement, Papier und Zellstoff durch Anwendung von Prinzipien und Technologie von Chemie, Physik und Technik.",Architektur und technische Berufe
Civil Engineers,4,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems.",Architecture and Engineering Occupations,17-2051.00,Zivile Ingeneure,"Führen Sie technische Aufgaben bei der Planung, Gestaltung und Überwachung von Baustrukturen und -strukturen und -einrichtungen wie Straßen, Eisenbahnen, Flughäfen, Brücken, Häfen, Kanälen, Dämmen, Bewässerungsprojekten, Pipelines, Kraftwerken sowie Wasser- und Abwassersystemen aus.",Architektur und technische Berufe
Transportation Engineers,4,"Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow.",Architecture and Engineering Occupations,17-2051.01,Transportingenieure,"Entwickeln Sie Pläne für Oberflächenverkehrsprojekte gemäß den etablierten Ingenieurstandards und staatlichen oder bundesstaatlichen Baupolitik. Erstellen Sie Designs, Spezifikationen oder Schätzungen für Transporteinrichtungen. Planen Sie Änderungen bestehender Straßen, Autobahnen oder Autobahnen, um den Verkehrsfluss zu verbessern.",Architektur und technische Berufe
Water/Wastewater Engineers,4,"Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.",Architecture and Engineering Occupations,17-2051.02,Wasser-/Abwasseringenieure,"Entwerfen oder Überwachung von Projekten mit Trinkwasser, Entsorgung von Abwasser und Abwasser oder Vorbeugung von Schäden im Zusammenhang mit Überschwemmungen. Erstellen Sie die Umweltdokumentation für Wasserressourcen, Einhaltung von Regulierungsprogrammen, Datenmanagement und -analyse sowie Feldarbeit. Führen Sie hydraulische Modellierung und Pipeline -Design durch.",Architektur und technische Berufe
Computer Hardware Engineers,4,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components.",Architecture and Engineering Occupations,17-2061.00,Computer -Hardware -Ingenieure,"Forschung, Design, Entwicklung oder Testcomputer oder computerbezogene Geräte für gewerbliche, industrielle, militärische oder wissenschaftliche Verwendung. Kann die Herstellung und Installation von Computer- oder computerbezogenen Geräten und Komponenten überwachen.",Architektur und technische Berufe
Electrical Engineers,4,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use.",Architecture and Engineering Occupations,17-2071.00,Elektroingenieure,"Forschung, Design, Entwicklung, Testen oder Überwachung der Herstellung und Installation von elektrischen Geräten, Komponenten oder Systemen für kommerzielle, industrielle, militärische oder wissenschaftliche Nutzung.",Architektur und technische Berufe
"Electronics Engineers, Except Computer",4,"Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls.",Architecture and Engineering Occupations,17-2072.00,Elektronikingenieure außer Computer,"Forschungs-, Entwurf, Entwicklung oder Test elektronische Komponenten und Systeme für kommerzielle, industrielle, militärische oder wissenschaftliche Verwendung unter Verwendung von Kenntnissen über elektronische Theorie und Materialeigenschaften. Entwurf elektronische Schaltkreise und Komponenten für die Verwendung in Bereichen wie Telekommunikation, Luft- und Raumfahrt -Führung und Antriebskontrolle, Akustik oder Instrumente und Steuerelemente.",Architektur und technische Berufe
Radio Frequency Identification Device Specialists,4,Design and implement radio frequency identification device (RFID) systems used to track shipments or goods.,Architecture and Engineering Occupations,17-2072.01,Funkfrequenz -Identifikationsgerätespezialisten,"Entwerfen und Implementieren von RFID -Systemen (Radio Frequency Identification Device), die zur Verfolgung von Sendungen oder Waren verwendet werden.",Architektur und technische Berufe
Environmental Engineers,4,"Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology.",Architecture and Engineering Occupations,17-2081.00,Umweltingenieure,"Forschung, Design, Planen oder Erfüllung von technischen Aufgaben bei der Prävention, Kontrolle und Sanierung von Umweltgefahren unter Verwendung verschiedener technischer Disziplinen. Die Arbeiten können Abfallbehandlung, Standortsanierung oder Verschmutzungstechnologie umfassen.",Architektur und technische Berufe
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",4,"Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers.",Architecture and Engineering Occupations,17-2111.00,Gesundheits- und Sicherheitsingenieure außer Bergbau -Sicherheitsingenieuren und Inspektoren,"Förderung der Arbeitsstelle oder der Produktsicherheit, indem sie Kenntnisse über industrielle Prozesse, Mechaniker, Chemie, Psychologie und industrielle Gesundheits- und Sicherheitsgesetze anwenden. Beinhaltet Ingenieure für Industrieprodukte.",Architektur und technische Berufe
Fire-Prevention and Protection Engineers,4,"Research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards.",Architecture and Engineering Occupations,17-2111.02,Brandschutz- und Schutzingenieure,"Forschungsursachen für Brände, Bestimmung von Brandschutzmethoden sowie Entwurf oder Empfehlensmaterial oder Ausrüstung wie strukturelle Komponenten oder Feuererkennungsgeräte, um Organisationen bei der Schutzdauer von Lebensdauer und Eigentum vor Feuer, Explosion und damit verbundenen Gefahren zu unterstützen.",Architektur und technische Berufe
Industrial Engineers,4,"Design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination.",Architecture and Engineering Occupations,17-2112.00,Industrieingenieure,"Entwerfen, Entwickeln, Testen und Bewertung integrierter Systeme zur Verwaltung industrieller Produktionsprozesse, einschließlich menschlicher Arbeitsfaktoren, Qualitätskontrolle, Bestandskontrolle, Logistik und Materialfluss, Kostenanalyse und Produktionskoordination.",Architektur und technische Berufe
Human Factors Engineers and Ergonomists,5,"Design objects, facilities, and environments to optimize human well-being and overall system performance, applying theory, principles, and data regarding the relationship between humans and respective technology. Investigate and analyze characteristics of human behavior and performance as it relates to the use of technology.",Architecture and Engineering Occupations,17-2112.01,Menschliche Faktoren Ingenieure und Ergonomisten,"Entwurfsobjekte, Einrichtungen und Umgebungen zur Optimierung des menschlichen Wohlbefindens und der Gesamtsystemleistung, der Anwendung von Theorie, Prinzipien und Daten über die Beziehung zwischen Menschen und jeweiliger Technologie. Untersuchen und analysieren Sie die Merkmale des menschlichen Verhaltens und der Leistung in Bezug auf den Einsatz von Technologie.",Architektur und technische Berufe
Validation Engineers,4,"Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.",Architecture and Engineering Occupations,17-2112.02,Validierungsingenieure,"Design- oder Planprotokolle für Geräte oder Prozesse zur Herstellung von Produkten, die die Anforderungen an die interne und externe Reinheit, Sicherheit und Qualität erfüllen.",Architektur und technische Berufe
Manufacturing Engineers,4,"Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs.",Architecture and Engineering Occupations,17-2112.03,Fertigungsingenieure,"Entwurf, Integration oder Verbesserung von Fertigungssystemen oder verwandten Prozessen. Kann mit kommerziellen oder industriellen Designern zusammenarbeiten, um Produktdesigns zu verfeinern, um die Produktion zu erhöhen und die Kosten zu senken.",Architektur und technische Berufe
Marine Engineers and Naval Architects,4,"Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems.",Architecture and Engineering Occupations,17-2121.00,Meeresingenieure und Marinearchitekten,"Entwerfen, entwickeln und bewerten Sie den Betrieb von Meeresschiffen, Schiffsmaschinen und verwandten Geräten wie Stromversorgung und Antriebssystemen.",Architektur und technische Berufe
Materials Engineers,4,"Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers.",Architecture and Engineering Occupations,17-2131.00,Materialingenieure,"Bewerten Sie Materialien und entwickeln Sie Maschinen und Prozesse zur Herstellung von Materialien für die Verwendung in Produkten, die spezialisierte Design- und Leistungsspezifikationen erfüllen müssen. Entwickeln Sie neue Verwendungen für bekannte Materialien. Enthält diejenigen Ingenieure, die mit Verbundwerkstoffen arbeiten oder sich auf eine Art von Material spezialisiert haben, wie Graphit, Metall- und Metalllegierungen, Keramik und Glas, Kunststoff und Polymere sowie natürlich vorkommende Materialien. Beinhaltet Metallurgen und Metallurgie -Ingenieure, Keramikingenieure und Schweißingenieure.",Architektur und technische Berufe
Mechanical Engineers,4,"Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems.",Architecture and Engineering Occupations,17-2141.00,Maschinenbauer,"Führen Sie technische Aufgaben bei der Planung und Entwerfen von Werkzeugen, Motoren, Maschinen und anderen mechanisch funktionierenden Geräten aus. Überwachung der Installation, Betrieb, Wartung und Reparatur von Geräten wie zentraler Wärme, Gas, Wasser und Dampfsystemen.",Architektur und technische Berufe
Fuel Cell Engineers,4,"Design, evaluate, modify, or construct fuel cell components or systems for transportation, stationary, or portable applications.",Architecture and Engineering Occupations,17-2141.01,Kraftstoffzelleningenieure,"Brennstoffzellenkomponenten oder -systeme für Transport-, stationäre oder tragbare Anwendungen entwerfen, bewerten, ändern oder konstruieren.",Architektur und technische Berufe
Automotive Engineers,4,"Develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology. Direct building, modification, or testing of vehicle or components.",Architecture and Engineering Occupations,17-2141.02,Kfz -Ingenieure,"Entwickeln Sie neue oder verbesserte Designs für Fahrzeugstrukturmitglieder, Motoren, Übertragungen oder andere Fahrzeugsysteme unter Verwendung computergestützter Designtechnologie. Direkter Gebäude, Modifikation oder Testen von Fahrzeug oder Komponenten.",Architektur und technische Berufe
"Mining and Geological Engineers, Including Mining Safety Engineers",4,"Conduct subsurface surveys to identify the characteristics of potential land or mining development sites. May specify the ground support systems, processes, and equipment for safe, economical, and environmentally sound extraction or underground construction activities. May inspect areas for unsafe geological conditions, equipment, and working conditions. May design, implement, and coordinate mine safety programs.",Architecture and Engineering Occupations,17-2151.00,"Bergbau- und Geological Engineers, einschließlich Bergbau -Sicherheitsingenieure","Führen Sie Untergrundumfragen durch, um die Merkmale potenzieller Land- oder Bergbauentwicklungsstellen zu identifizieren. Kann die Bodenunterstützungssysteme, -prozesse und -geräte für sichere, wirtschaftliche und umweltfreundliche Extraktion oder unterirdische Bauaktivitäten angeben. Kann Bereiche auf unsichere geologische Bedingungen, Ausrüstung und Arbeitsbedingungen untersuchen. Kann Minensicherheitsprogramme entwerfen, implementieren und koordinieren.",Architektur und technische Berufe
Nuclear Engineers,4,"Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal.",Architecture and Engineering Occupations,17-2161.00,Nuklearingenieure,"Führen Sie Forschungen zu Atomtechnik durch oder wenden Sie Prinzipien und Theorie der Nuklearwissenschaft auf Probleme, die mit der Entsorgung, Kontrolle und Nutzung von Kernenergie und Nuklearabfällen betroffen sind.",Architektur und technische Berufe
Petroleum Engineers,4,Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.,Architecture and Engineering Occupations,17-2171.00,Erdölingenieure,Entwickeln Sie Methoden zur Verbesserung der Öl- und Gasförderung und -produktion und bestimmen Sie die Notwendigkeit neuer oder modifizierter Tool -Designs. Überwachen Sie die Bohrungen und geben Sie technische Beratung an.,Architektur und technische Berufe
"Energy Engineers, Except Wind and Solar",4,"Design, develop, or evaluate energy-related projects or programs to reduce energy costs or improve energy efficiency during the designing, building, or remodeling stages of construction. May specialize in electrical systems; heating, ventilation, and air-conditioning (HVAC) systems; green buildings; lighting; air quality; or energy procurement.",Architecture and Engineering Occupations,17-2199.03,Energieingenieure außer Wind und Solar,"Entwerfen, entwickeln oder bewerten Sie energiebezogene Projekte oder Programme, um die Energiekosten zu senken oder die Energieeffizienz während der Konstruktion, Bau- oder Umgestaltungsstadien des Baus zu verbessern. Kann sich auf elektrische Systeme spezialisiert; Heizungs-, Belüftungs- und Klimaanlage (HLK) -Systeme; grüne Gebäude; Beleuchtung; Luftqualität; oder Energiebeschaffung.",Architektur und technische Berufe
Mechatronics Engineers,4,"Research, design, develop, or test automation, intelligent systems, smart devices, or industrial systems control.",Architecture and Engineering Occupations,17-2199.05,Mechatronik -Ingenieure,"Forschung, Design, Entwicklung oder Testautomatisierung, intelligente Systeme, intelligente Geräte oder industrielle Systemsteuerung.",Architektur und technische Berufe
Microsystems Engineers,5,"Research, design, develop, or test microelectromechanical systems (MEMS) devices.",Architecture and Engineering Occupations,17-2199.06,Mikrosysteme Ingenieure,"MEMS -Geräte (Forschung, Entwurf, Entwicklung oder Testen Sie mikroelektromechanische Systeme (MEMS).",Architektur und technische Berufe
Photonics Engineers,4,"Design technologies specializing in light information or light energy, such as laser or fiber optics technology.",Architecture and Engineering Occupations,17-2199.07,Photonikingenieure,Designtechnologien spezialisiert auf Lichtinformationen oder Lichtenergie wie Laser- oder Glasfasertechnologie.,Architektur und technische Berufe
Robotics Engineers,4,"Research, design, develop, or test robotic applications.",Architecture and Engineering Occupations,17-2199.08,Robotikingenieure,"Roboteranwendungen forschen, entwerfen, entwickeln oder testen.",Architektur und technische Berufe
Nanosystems Engineers,5,"Design, develop, or supervise the production of materials, devices, or systems of unique molecular or macromolecular composition, applying principles of nanoscale physics and electrical, chemical, or biological engineering.",Architecture and Engineering Occupations,17-2199.09,Nanosystem -Ingenieure,"Entwerfen, entwickeln oder überwachen Sie die Produktion von Materialien, Geräten oder Systemen einzigartiger molekularer oder makromolekularer Zusammensetzung, wobei Prinzipien der nanoskaligen Physik und elektrischen, chemischen oder biologischen Ingenieurwesen Prinzipien anwenden.",Architektur und technische Berufe
Wind Energy Engineers,4,Design underground or overhead wind farm collector systems and prepare and develop site specifications.,Architecture and Engineering Occupations,17-2199.10,Windenergieingenieure,Entwerfen Sie unterirdische oder Overhead -Windpark -Sammlersysteme und erstellen und entwickeln Standortspezifikationen.,Architektur und technische Berufe
Solar Energy Systems Engineers,4,"Perform site-specific engineering analysis or evaluation of energy efficiency and solar projects involving residential, commercial, or industrial customers. Design solar domestic hot water and space heating systems for new and existing structures, applying knowledge of structural energy requirements, local climates, solar technology, and thermodynamics.",Architecture and Engineering Occupations,17-2199.11,Ingenieure der Sonnenenergiesysteme,"Führen Sie eine ortsspezifische technische Analyse oder Bewertung von Energieeffizienz- und Solarprojekten durch, an denen Wohn-, Gewerbe- oder Industriekunden beteiligt sind. Entwerfen Sie Solar inländische Heiz- und Weltraumheizungssysteme für neue und vorhandene Strukturen, Anwendung des Kenntnisses über den strukturellen Energiebedarf, lokale Klimazonen, Solartechnologie und Thermodynamik.",Architektur und technische Berufe
Architectural and Civil Drafters,3,"Prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works. Use knowledge of building materials, engineering practices, and mathematics to complete drawings.",Architecture and Engineering Occupations,17-3011.00,Architektonische und zivile Verfasser,"Erstellen Sie detaillierte Zeichnungen von architektonischen und strukturellen Merkmalen von Gebäuden oder Zeichnungen und topografischen Hilfskarten, die in Bauingenieurprojekten wie Autobahnen, Brücken und öffentlichen Arbeiten verwendet werden. Verwenden Sie Kenntnisse über Baumaterialien, technische Praktiken und Mathematik, um Zeichnungen zu vervollständigen.",Architektur und technische Berufe
Electrical and Electronics Drafters,3,"Prepare wiring diagrams, circuit board assembly diagrams, and layout drawings used for the manufacture, installation, or repair of electrical equipment.",Architecture and Engineering Occupations,17-3012.00,Elektrische und elektronische Verfasste,"Bereiten Sie Schaltpläne, Schaltplatten -Baugruppen -Diagramme und Layoutzeichnungen vor, die für die Herstellung, Installation oder Reparatur von elektrischen Geräten verwendet werden.",Architektur und technische Berufe
Mechanical Drafters,3,"Prepare detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information.",Architecture and Engineering Occupations,17-3013.00,Mechanische Verfasste,"Bereiten Sie detaillierte Arbeitsdiagramme von Maschinen und mechanischen Geräten vor, einschließlich Abmessungen, Befestigungsmethoden und anderen technischen Informationen.",Architektur und technische Berufe
Aerospace Engineering and Operations Technologists and Technicians,3,"Operate, install, adjust, and maintain integrated computer/communications systems, consoles, simulators, and other data acquisition, test, and measurement instruments and equipment, which are used to launch, track, position, and evaluate air and space vehicles. May record and interpret test data.",Architecture and Engineering Occupations,17-3021.00,Luft- und Raumfahrttechnik und Betriebstechnologen und Techniker,"Bediene, integrierte Computer/Kommunikationssysteme, Konsolen, Simulatoren und andere Datenerfassung, Test- und Messinstrumente und -ausrüstung bedienen, anpassen und verwalten, die zum Starten, Platzieren, Positionieren und Bewerten von Luft- und Raumfahrzeugen verwendet werden. Kann Testdaten aufzeichnen und interpretieren.",Architektur und technische Berufe
Civil Engineering Technologists and Technicians,3,"Apply theory and principles of civil engineering in planning, designing, and overseeing construction and maintenance of structures and facilities under the direction of engineering staff or physical scientists.",Architecture and Engineering Occupations,17-3022.00,Bauingenieurtechnologen und -Techniker,"Wenden Sie Theorie und Prinzipien des Bauingenieurwesens bei der Planung, Gestaltung und Überwachung des Konstruktion und der Aufrechterhaltung von Strukturen und Einrichtungen unter der Leitung von technischen Mitarbeitern oder Physikalischen Wissenschaftlern an.",Architektur und technische Berufe
Electrical and Electronic Engineering Technologists and Technicians,3,"Apply electrical and electronic theory and related knowledge, usually under the direction of engineering staff, to design, build, repair, adjust, and modify electrical components, circuitry, controls, and machinery for subsequent evaluation and use by engineering staff in making engineering design decisions.",Architecture and Engineering Occupations,17-3023.00,Technologen und Techniker der Elektrotechnik und Elektrotechnik,"Wenden Sie die elektrische und elektronische Theorie und das damit verbundene Wissen an, normalerweise unter der Leitung des technischen Mitarbeiter .",Architektur und technische Berufe
Electro-Mechanical and Mechatronics Technologists and Technicians,3,"Operate, test, maintain, or adjust unmanned, automated, servomechanical, or electromechanical equipment. May operate unmanned submarines, aircraft, or other equipment to observe or record visual information at sites such as oil rigs, crop fields, buildings, or for similar infrastructure, deep ocean exploration, or hazardous waste removal. May assist engineers in testing and designing robotics equipment.",Architecture and Engineering Occupations,17-3024.00,Elektro-mechanische und mechatronistische Technologen und Techniker,"Bediene, automatisierte, Servomechanische oder elektromechanische Geräte bedienen, testen, verwalten oder anpassen. Kann unbemannte U -Boote, Flugzeuge oder andere Geräte betreiben, um visuelle Informationen an Standorten wie Ölbohrinseln, Pflanzenfeldern, Gebäuden oder für ähnliche Infrastrukturen, Tiefenexplorationen oder Entfernung gefährlicher Abfälle zu beobachten oder aufzuzeichnen. Kann Ingenieuren beim Testen und Entwerfen von Robotikgeräten unterstützen.",Architektur und technische Berufe
Robotics Technicians,3,"Build, install, test, or maintain robotic equipment or related automated production systems.",Architecture and Engineering Occupations,17-3024.01,Robotik -Techniker,"Erstellen, installieren, testen oder pflegen Robotergeräte oder damit verbundene automatisierte Produktionssysteme.",Architektur und technische Berufe
Environmental Engineering Technologists and Technicians,4,"Apply theory and principles of environmental engineering to modify, test, and operate equipment and devices used in the prevention, control, and remediation of environmental problems, including waste treatment and site remediation, under the direction of engineering staff or scientists. May assist in the development of environmental remediation devices.",Architecture and Engineering Occupations,17-3025.00,Umwelttechnik und Techniker,"Wenden Sie Theorie und Prinzipien des Umwelttechnik an, um Geräte und Geräte zu verändern, zu testen und zu betreiben, die bei der Prävention, Kontrolle und Sanierung von Umweltproblemen, einschließlich Abfallbehandlung und Standort Sanierung, unter der Leitung von Ingenieurstab oder Wissenschaftlern verwendet werden. Kann bei der Entwicklung von Umweltsanleitungsgeräten helfen.",Architektur und technische Berufe
Industrial Engineering Technologists and Technicians,3,"Apply engineering theory and principles to problems of industrial layout or manufacturing production, usually under the direction of engineering staff. May perform time and motion studies on worker operations in a variety of industries for purposes such as establishing standard production rates or improving efficiency.",Architecture and Engineering Occupations,17-3026.00,Technologie und Techniker für Wirtschaftsingenieurwesen,"Wenden Sie die technische Theorie und Prinzipien auf Probleme der Industrieanordnung oder der Produktion von Fertigungen an, die normalerweise unter der Leitung des technischen Personals. Kann Zeit- und Bewegungsstudien zum Arbeitnehmerbetrieb in einer Vielzahl von Branchen für Zwecke wie die Festlegung von Standardproduktionsraten oder die Verbesserung der Effizienz durchführen.",Architektur und technische Berufe
Nanotechnology Engineering Technologists and Technicians,4,"Implement production processes and operate commercial-scale production equipment to produce, test, or modify materials, devices, or systems of unique molecular or macromolecular composition. Operate advanced microscopy equipment to manipulate nanoscale objects. Work under the supervision of nanoengineering staff.",Architecture and Engineering Occupations,17-3026.01,Technologen und Techniker der Nanotechnologie Engineering,"Implementieren Sie Produktionsprozesse und betreiben Sie Produktionsgeräte im Handelsmaßstab, um Materialien, Geräte oder Systeme der einzigartigen molekularen oder makromolekularen Zusammensetzung zu produzieren, zu testen oder zu modifizieren. Betreiben Sie fortschrittliche Mikroskopiegeräte, um nanoskalige Objekte zu manipulieren. Arbeit unter der Aufsicht des Nanoengineering -Personals.",Architektur und technische Berufe
Mechanical Engineering Technologists and Technicians,3,"Apply theory and principles of mechanical engineering to modify, develop, test, or adjust machinery and equipment under direction of engineering staff or physical scientists.",Architecture and Engineering Occupations,17-3027.00,Technologie und Techniker für Maschinenbau,"Wenden Sie Theorie und Prinzipien der Maschinenbau an, um Maschinen und Ausrüstung unter Richtung des Ingenieurpersonals oder Physikalwissenschaftlers zu ändern, zu entwickeln, zu testen oder anzupassen.",Architektur und technische Berufe
Automotive Engineering Technicians,3,"Assist engineers in determining the practicality of proposed product design changes and plan and carry out tests on experimental test devices or equipment for performance, durability, or efficiency.",Architecture and Engineering Occupations,17-3027.01,Automobiltechnik,"Unterstützung der Ingenieure bei der Bestimmung der praktischen Veränderungen vorgeschlagener Produktdesigns und Planung und Durchführung von Tests zu experimentellen Testgeräten oder Geräten für Leistung, Haltbarkeit oder Effizienz.",Architektur und technische Berufe
Calibration Technologists and Technicians,3,"Execute or adapt procedures and techniques for calibrating measurement devices, by applying knowledge of measurement science, mathematics, physics, chemistry, and electronics, sometimes under the direction of engineering staff. Determine measurement standard suitability for calibrating measurement devices. May perform preventive maintenance on equipment. May perform corrective actions to address identified calibration problems.",Architecture and Engineering Occupations,17-3028.00,Kalibrierungstechnologen und Techniker,"Führen Sie Verfahren und Techniken zur Kalibrierung von Messgeräten aus oder passen Sie sie an, indem Sie Kenntnisse über Messwissenschaft, Mathematik, Physik, Chemie und Elektronik anwenden, manchmal unter der Leitung von Ingenieurarbeitern. Bestimmen Sie die Eignung der Messstandard für die Kalibrierung von Messgeräten. Kann vorbeugende Wartung an Geräten durchführen. Kann Korrekturmaßnahmen ausführen, um identifizierte Kalibrierungsprobleme anzugehen.",Architektur und technische Berufe
Non-Destructive Testing Specialists,2,"Test the safety of structures, vehicles, or vessels using x-ray, ultrasound, fiber optic or related equipment.",Architecture and Engineering Occupations,17-3029.01,Nicht-zerstörerische Testspezialisten,"Testen Sie die Sicherheit von Strukturen, Fahrzeugen oder Gefäßen mit Röntgen-, Ultraschall-, Glasfaser- oder verwandter Geräten.",Architektur und technische Berufe
Photonics Technicians,3,"Build, install, test, or maintain optical or fiber optic equipment, such as lasers, lenses, or mirrors, using spectrometers, interferometers, or related equipment.",Architecture and Engineering Occupations,17-3029.08,Photonik -Techniker,"Erstellen, installieren, testen Sie oder pflegen Sie optische oder Glasfasergeräte wie Laser, Objektive oder Spiegel mit Spektrometern, Interferometern oder verwandten Geräten.",Architektur und technische Berufe
