Title,Job Zone,Description,Domain,O*NET-SOC Code,french_title,french_description,french_domain
Database Architects,4,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",Computer and Mathematical Occupations,15-1243.00,Architectes de base de données,"Stratégies de conception pour les bases de données d'entreprise, les systèmes d'entrepôt de données et les réseaux multidimensionnels. Définissez des normes pour les opérations de base de données, la programmation, les processus de requête et la sécurité. Modèle, concevoir et construire de grandes bases de données relationnelles ou des entrepôts de données. Créez et optimisez des modèles de données pour l'infrastructure et le flux de travail de l'entrepôt. Intégrez de nouveaux systèmes à la structure de l'entrepôt existant et affinez les performances et les fonctionnalités du système.",Occupations informatiques et mathématiques
Data Warehousing Specialists,4,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",Computer and Mathematical Occupations,15-1243.01,Spécialistes de l'entreposage de données,"Concevoir, modèle ou mettre en œuvre des activités d'entreposage des données d'entreprise. Programmez et configurez les entrepôts d'informations sur la base de données et fournissez un support aux utilisateurs de l'entrepôt.",Occupations informatiques et mathématiques
Network and Computer Systems Administrators,4,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.",Computer and Mathematical Occupations,15-1244.00,Administrateurs de systèmes de réseau et informatique,"Installer, configurer et maintenir le réseau local d'une organisation (LAN), un réseau large (WAN), un réseau de communication de données, des systèmes d'exploitation et des serveurs physiques et virtuels. Effectuez la surveillance du système et vérifiez l'intégrité et la disponibilité des ressources et des systèmes de matériel, de réseau et de serveur. Examiner les journaux du système et des applications et vérifiez l'achèvement des travaux planifiés, y compris les sauvegardes système. Analyser la consommation de ressources du réseau et du serveur et le contrôle de l'accès des utilisateurs. Installer et mettre à niveau les logiciels et maintenir les licences logicielles. Peut aider à la modélisation, à l'analyse, à la planification et à la coordination du réseau entre le réseau et le matériel de communication des données et les logiciels.",Occupations informatiques et mathématiques
Computer Programmers,4,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",Computer and Mathematical Occupations,15-1251.00,Programmeurs informatiques,"Créer, modifier et tester le code et les scripts qui permettent aux applications informatiques d'exécuter. Travail à partir de spécifications rédigées par des logiciels et des développeurs Web ou d'autres individus. Peut développer et écrire des programmes informatiques pour stocker, localiser et récupérer des documents, des données et des informations spécifiques.",Occupations informatiques et mathématiques
Software Developers,4,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",Computer and Mathematical Occupations,15-1252.00,Développeurs de logiciels,"Recherchez, concevoir et développer des logiciels informatiques et réseau ou des programmes d'utilité spécialisés. Analyser les besoins des utilisateurs et développer des solutions logicielles, en appliquant des principes et des techniques d'informatique, d'ingénierie et d'analyse mathématique. Mettre à jour le logiciel ou améliorer les capacités logicielles existantes. Peut travailler avec les ingénieurs matériels informatiques pour intégrer les systèmes matériels et logiciels et développer des spécifications et des exigences de performance. Peut maintenir des bases de données dans une zone d'application, en travaillant individuellement ou en coordonnant le développement de bases de données dans le cadre d'une équipe.",Occupations informatiques et mathématiques
Software Quality Assurance Analysts and Testers,4,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",Computer and Mathematical Occupations,15-1253.00,Analystes et testeurs d'assurance qualité logicielle,"Développer et exécuter des tests logiciels pour identifier les problèmes logiciels et leurs causes. Modifications du système de test pour préparer la mise en œuvre. Documer les défauts des logiciels et des applications à l'aide d'un système de suivi des bogues et signaler les défauts des logiciels ou des développeurs Web. Créez et entretenez des bases de données de défauts connus. Peut participer à des critiques de conception de logiciels pour fournir des commentaires sur les exigences fonctionnelles, les caractéristiques opérationnelles, les conceptions de produits et les horaires.",Occupations informatiques et mathématiques
Web Developers,3,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.",Computer and Mathematical Occupations,15-1254.00,Développeurs web,"Développer et implémenter des sites Web, des applications Web, des bases de données d'applications et des interfaces Web interactives. Évaluez le code pour vous assurer qu'il est correctement structuré, répond aux normes de l'industrie et est compatible avec les navigateurs et les appareils. Optimiser les performances du site Web, l'évolutivité et le code et les processus côté serveur. Peut développer une infrastructure de site Web et intégrer des sites Web à d'autres applications informatiques.",Occupations informatiques et mathématiques
Web and Digital Interface Designers,4,"Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web and accessibility standards, and may analyze web use metrics and optimize websites for marketability and search engine ranking. May design and test interfaces that facilitate the human-computer interaction and maximize the usability of digital devices, websites, and software with a focus on aesthetics and design. May create graphics used in websites and manage website content and links.",Computer and Mathematical Occupations,15-1255.00,Concepteurs d'interface Web et numérique,"Concevoir des interfaces ou des sites Web de l'utilisateur numérique. Développer et tester les dispositions, les interfaces, les fonctionnalités et les menus de navigation pour assurer la compatibilité et la convivialité entre les navigateurs ou les appareils. Peut utiliser les applications Web Framework ainsi que le code et les processus côté client. Peut évaluer la conception Web en fonction des normes Web et d'accessibilité, et peut analyser les mesures d'utilisation du Web et optimiser les sites Web pour le classement de commercialisation et des moteurs de recherche. Peut concevoir et tester les interfaces qui facilitent l'interaction humaine-ordinateur et maximiser la convivialité des appareils numériques, des sites Web et des logiciels en mettant l'accent sur l'esthétique et la conception. Peut créer des graphiques utilisés dans les sites Web et gérer le contenu et les liens du site Web.",Occupations informatiques et mathématiques
Video Game Designers,4,"Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed.",Computer and Mathematical Occupations,15-1255.01,Designers de jeux vidéo,"Concevoir les fonctionnalités principales des jeux vidéo. Spécifiez des mécanismes de jeu et de rôle innovants, des scénarios et des biographies de personnages. Créer et maintenir la documentation de conception. Guidez et collaborez avec le personnel de production pour produire des jeux tels que conçus.",Occupations informatiques et mathématiques
Web Administrators,4,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.",Computer and Mathematical Occupations,15-1299.01,Administrateurs Web,"Gérer les activités de conception, de déploiement, de développement et de maintenance de l'environnement Web. Effectuer des tests et une assurance qualité des sites Web et des applications Web.",Occupations informatiques et mathématiques
Geographic Information Systems Technologists and Technicians,4,"Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.",Computer and Mathematical Occupations,15-1299.02,Technologues et techniciens de systèmes d'information géographique,"Aider les scientifiques ou les professionnels connexes à construire, à maintenir, à modifier ou à utiliser des bases de données de systèmes d'information géographique (SIG). Peut également effectuer un développement d'applications personnalisés ou fournir une assistance utilisateur.",Occupations informatiques et mathématiques
Document Management Specialists,4,"Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.",Computer and Mathematical Occupations,15-1299.03,Spécialistes de la gestion des documents,"Mettre en œuvre et administrer des systèmes de gestion de documents à l'échelle de l'entreprise et des procédures connexes qui permettent aux organisations de capturer, stocker, récupérer, partager et détruire les enregistrements et documents électroniques.",Occupations informatiques et mathématiques
Penetration Testers,4,Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.,Computer and Mathematical Occupations,15-1299.04,Testeurs de pénétration,Évaluez la sécurité du système de réseau en effectuant des cyberattaques internes et externes simulées à l'aide d'outils et de techniques adversaires. Essayez de franchir et d'exploiter les systèmes critiques et d'accéder à des informations sensibles pour évaluer la sécurité du système.,Occupations informatiques et mathématiques
Information Security Engineers,4,"Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to identify vulnerabilities and protect digital files and electronic infrastructures. Monitor and respond to computer security breaches, viruses, and intrusions, and perform forensic investigation. May oversee the assessment of information security systems.",Computer and Mathematical Occupations,15-1299.05,Ingénieurs de la sécurité de l'information,"Élaborer et superviser la mise en œuvre des procédures et politiques de sécurité de l'information. Construire, maintenir et mettre à niveau les technologies de sécurité, telles que les pare-feu, pour l'utilisation sûre des réseaux informatiques et la transmission et la récupération des informations. Concevoir et mettre en œuvre des contrôles de sécurité appropriés pour identifier les vulnérabilités et protéger les fichiers numériques et les infrastructures électroniques. Surveillez et répondez aux violations, virus et intrusions de la sécurité informatique et effectuez une enquête médico-légale. Peut superviser l'évaluation des systèmes de sécurité de l'information.",Occupations informatiques et mathématiques
Digital Forensics Analysts,4,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.",Computer and Mathematical Occupations,15-1299.06,Analystes de la criminalistique numérique,"Mener des enquêtes sur des crimes informatiques établissant des preuves documentaires ou physiques, telles que les médias numériques et les journaux associés aux incidents de cyber-intrusion. Analyser les preuves numériques et étudier les incidents de sécurité informatique pour dériver des informations à l'appui de l'atténuation de la vulnérabilité du système et du réseau. Préserver et présenter des preuves informatiques à l'appui des enquêtes criminelles, de fraude, de contre-espionnage ou d'application de la loi.",Occupations informatiques et mathématiques
Blockchain Engineers,4,"Maintain and support distributed and decentralized blockchain-based networks or block-chain applications such as cryptocurrency exchange, payment processing, document sharing, and digital voting. Design and deploy secure block-chain design patterns and solutions over geographically distributed networks using advanced technologies. May assist with infrastructure setup and testing for application transparency and security.",Computer and Mathematical Occupations,15-1299.07,Ingénieurs de blockchain,"Maintenir et prendre en charge des réseaux basés sur la blockchain distribués et décentralisés ou des applications à chaîne bloc tels que l'échange de crypto-monnaie, le traitement des paiements, le partage de documents et le vote numérique. Concevoir et déployer des modèles et des solutions de conception de chaîne à chaîne globale sécurisés sur des réseaux distribués géographiquement à l'aide de technologies avancées. Peut aider à la configuration des infrastructures et aux tests pour la transparence et la sécurité des applications.",Occupations informatiques et mathématiques
Computer Systems Engineers/Architects,4,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",Computer and Mathematical Occupations,15-1299.08,Ingénieurs / architectes des systèmes informatiques,"Concevoir et développer des solutions à des problèmes d'applications complexes, des problèmes d'administration du système ou des problèmes de réseau. Effectuer des fonctions de gestion des systèmes et d'intégration.",Occupations informatiques et mathématiques
Information Technology Project Managers,4,"Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.",Computer and Mathematical Occupations,15-1299.09,Chefs de projet en technologie de l'information,"Planifier, lancer et gérer les projets des technologies de l'information (TI). Diriger et guider le travail du personnel technique. Servir de liaison entre les aspects commerciaux et techniques des projets. Planifiez les étapes du projet et évaluez les implications commerciales pour chaque étape. Surveiller les progrès pour assurer les délais, les normes et les objectifs de coûts atteints.",Occupations informatiques et mathématiques
Actuaries,4,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.",Computer and Mathematical Occupations,15-2011.00,Actuaires,"Analyser les données statistiques, telles que la mortalité, les accidents, la maladie, l'invalidité et les taux de retraite et la construction de tableaux de probabilité pour prévoir le risque et la responsabilité du paiement des avantages futurs. Peut déterminer les taux d'assurance requis et les réserves de trésorerie nécessaires pour garantir le paiement des avantages futurs.",Occupations informatiques et mathématiques
Mathematicians,5,"Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods.",Computer and Mathematical Occupations,15-2021.00,Mathématiciens,"Mener des recherches en mathématiques fondamentales ou dans l'application de techniques mathématiques à la science, à la gestion et à d'autres domaines. Résolvez des problèmes dans divers domaines à l'aide de méthodes mathématiques.",Occupations informatiques et mathématiques
Operations Research Analysts,5,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",Computer and Mathematical Occupations,15-2031.00,Analystes de la recherche opérationnelle,"Formuler et appliquer la modélisation mathématique et d'autres méthodes d'optimisation pour développer et interpréter des informations qui aident la gestion à la prise de décision, à la formulation des politiques ou à d'autres fonctions de gestion. Peut collecter et analyser les données et développer des logiciels, des services ou des produits d'assistance à la décision. Peut développer et fournir des réseaux optimaux de temps, de coût ou de logistique pour l'évaluation, l'examen ou la mise en œuvre du programme.",Occupations informatiques et mathématiques
Statisticians,5,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.",Computer and Mathematical Occupations,15-2041.00,Statisticiens,"Développer ou appliquer la théorie et les méthodes mathématiques ou statistiques pour collecter, organiser, interpréter et résumer des données numériques pour fournir des informations utilisables. Peut se spécialiser dans des domaines tels que la biostatistique, les statistiques agricoles, les statistiques commerciales ou les statistiques économiques. Comprend des statisticiens mathématiques et d'enquête.",Occupations informatiques et mathématiques
Biostatisticians,5,Develop and apply biostatistical theory and methods to the study of life sciences.,Computer and Mathematical Occupations,15-2041.01,Biostatisticiens,Développer et appliquer la théorie et les méthodes biostatistiques à l'étude des sciences de la vie.,Occupations informatiques et mathématiques
Data Scientists,4,"Develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software. Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze information from large structured and unstructured datasets. Visualize, interpret, and report data findings. May create dynamic data reports.",Computer and Mathematical Occupations,15-2051.00,Data scientifiques,"Développez et mettez en œuvre un ensemble de techniques ou d'applications d'analyse pour transformer les données brutes en informations significatives à l'aide de langages de programmation axés sur les données et de logiciels de visualisation. Appliquer l'exploration de données, la modélisation des données, le traitement du langage naturel et l'apprentissage automatique pour extraire et analyser les informations à partir de grands ensembles de données structurés et non structurés. Visualiser, interpréter et signaler les résultats des données. Peut créer des rapports de données dynamiques.",Occupations informatiques et mathématiques
Business Intelligence Analysts,4,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,Computer and Mathematical Occupations,15-2051.01,Analystes de Business Intelligence,Produisez des renseignements financiers et du marché en interrogeant les référentiels de données et en générant des rapports périodiques. Concevoir des méthodes pour identifier les modèles de données et les tendances des sources d'informations disponibles.,Occupations informatiques et mathématiques
Clinical Data Managers,4,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",Computer and Mathematical Occupations,15-2051.02,Gestionnaires de données cliniques,Appliquer des connaissances sur les soins de santé et la gestion des bases de données pour analyser les données cliniques et pour identifier et signaler les tendances.,Occupations informatiques et mathématiques
Bioinformatics Technicians,4,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",Computer and Mathematical Occupations,15-2099.01,Techniciens de bioinformatique,"Appliquer les principes et les méthodes de bioinformatique pour aider les scientifiques dans des domaines tels que les produits pharmaceutiques, la technologie médicale, la biotechnologie, la biologie informatique, la protéomique, les sciences de l'information informatique, la biologie et l'informatique médicale. Appliquer des outils de bioinformatique pour visualiser, analyser, manipuler ou interpréter les données moléculaires. Peut construire et maintenir des bases de données pour le traitement et l'analyse des informations génomiques ou d'autres informations biologiques.",Occupations informatiques et mathématiques
"Architects, Except Landscape and Naval",5,"Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property.",Architecture and Engineering Occupations,17-1011.00,"Architectes, sauf le paysage et la marine","Structures de plan et de conception, telles que les résidences privées, les immeubles de bureaux, les théâtres, les usines et autres biens structurels.",Architecture et professions d'ingénierie
Landscape Architects,4,"Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites.",Architecture and Engineering Occupations,17-1012.00,Architectes paysagistes,"Planifier et concevoir des zones terrestres pour des projets tels que les parcs et autres installations de loisirs, les aéroports, les autoroutes, les hôpitaux, les écoles, les lotissements fonciers et les sites commerciaux, industriels et résidentiels.",Architecture et professions d'ingénierie
Cartographers and Photogrammetrists,4,"Research, study, and prepare maps and other spatial data in digital or graphic form for one or more purposes, such as legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems. May collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data.",Architecture and Engineering Occupations,17-1021.00,Cartographes et photogramétristes,"Recherchez, étudier et préparer des cartes et autres données spatiales sous forme numérique ou graphique à une ou plusieurs fins, telles que des fins juridiques, sociales, politiques, éducatives et de conception. Peut travailler avec les systèmes d'information géographique (SIG). Peut concevoir et évaluer les algorithmes, les structures de données et les interfaces utilisateur pour les SIG et les systèmes de cartographie. Peut collecter, analyser et interpréter les informations géographiques fournies par les enquêtes géodétiques, les photographies aériennes et les données satellites.",Architecture et professions d'ingénierie
Surveyors,4,"Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes.",Architecture and Engineering Occupations,17-1022.00,Arpenteurs,"Faites des mesures exactes et déterminez les limites de la propriété. Fournissez des données pertinentes pour la forme, le contour, la gravitation, l'emplacement, l'élévation ou la dimension des caractéristiques terrestres ou terrestres sur ou près de la surface de la Terre pour l'ingénierie, la cartographie, l'exploitation minière, l'évaluation des terres, la construction et d'autres fins.",Architecture et professions d'ingénierie
Geodetic Surveyors,4,"Measure large areas of the Earth's surface using satellite observations, global navigation satellite systems (GNSS), light detection and ranging (LIDAR), or related sources.",Architecture and Engineering Occupations,17-1022.01,Géodésimaires,"Mesurer de grandes zones de la surface de la Terre à l'aide d'observations satellites, de systèmes de satellite de navigation globale (GNSS), de détection de lumière et de diffusion (LiDAR) ou de sources connexes.",Architecture et professions d'ingénierie
Aerospace Engineers,4,"Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.",Architecture and Engineering Occupations,17-2011.00,Ingénieurs aérospatiaux,"Effectuer des tâches d'ingénierie dans la conception, la construction et le test des avions, des missiles et des vaisseaux spatiaux. Peut effectuer des recherches fondamentales et appliquées pour évaluer l'adaptabilité des matériaux et de l'équipement à la conception et à la fabrication des avions. Peut recommander des améliorations des équipements et des techniques de test.",Architecture et professions d'ingénierie
Agricultural Engineers,4,"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.",Architecture and Engineering Occupations,17-2021.00,Ingénieurs agricoles,"Appliquer des connaissances sur la technologie d'ingénierie et les sciences biologiques aux problèmes agricoles concernés par l'énergie et les machines, l'électrification, les structures, la conservation des sols et de l'eau et la transformation des produits agricoles.",Architecture et professions d'ingénierie
Bioengineers and Biomedical Engineers,4,"Apply knowledge of engineering, biology, chemistry, computer science, and biomechanical principles to the design, development, and evaluation of biological, agricultural, and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems.",Architecture and Engineering Occupations,17-2031.00,Bioengineers et ingénieurs biomédicaux,"Appliquer des connaissances sur l'ingénierie, la biologie, la chimie, l'informatique et les principes biomécaniques à la conception, au développement et à l'évaluation des systèmes et produits biologiques, agricoles et de santé, tels que les organes artificiels, les prothèses, l'instrumentation, les systèmes d'information médicale et la gestion de la santé et les systèmes de prestation de soins.",Architecture et professions d'ingénierie
Chemical Engineers,4,"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering.",Architecture and Engineering Occupations,17-2041.00,Ingénieurs chimiques,"Concevoir l'équipement des usines chimiques et concevoir des processus de fabrication de produits chimiques et de produits, tels que l'essence, le caoutchouc synthétique, les plastiques, les détergents, le ciment, le papier et la pulpe, en appliquant des principes et une technologie de chimie, de physique et d'ingénierie.",Architecture et professions d'ingénierie
Civil Engineers,4,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems.",Architecture and Engineering Occupations,17-2051.00,Ingénieurs civils,"Effectuer des tâches d'ingénierie dans la planification, la conception et la supervision de la construction et de l'entretien des structures et des installations de construction, tels que les routes, les chemins de fer, les aéroports, les ponts, les ports, les canaux, les barrages, les projets d'irrigation, les pipelines, les centrales électriques et les systèmes d'eau et d'égout.",Architecture et professions d'ingénierie
Transportation Engineers,4,"Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow.",Architecture and Engineering Occupations,17-2051.01,Ingénieurs du transport,"Élaborer des plans pour les projets de transport de surface, selon les normes d'ingénierie établies et la politique de construction fédérale ou fédérale. Préparer des conceptions, des spécifications ou des estimations pour les installations de transport. Planifiez les modifications des rues, autoroutes ou autoroutes existantes pour améliorer le flux de trafic.",Architecture et professions d'ingénierie
Water/Wastewater Engineers,4,"Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.",Architecture and Engineering Occupations,17-2051.02,Ingénieurs d'eau / d'eaux usées,"Concevoir ou superviser les projets impliquant la fourniture d'eau potable, l'élimination des eaux usées et les eaux usées, ou la prévention des dommages liés aux inondations. Préparer la documentation environnementale pour les ressources en eau, la conformité du programme réglementaire, la gestion et l'analyse des données et les travaux sur le terrain. Effectuer la modélisation hydraulique et la conception du pipeline.",Architecture et professions d'ingénierie
Computer Hardware Engineers,4,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components.",Architecture and Engineering Occupations,17-2061.00,Ingénieurs matériels informatiques,"Recherchez, concevoir, développer ou tester des équipements d'ordinateur ou d'ordinateur à usage commercial, industriel, militaire ou scientifique. Peut superviser la fabrication et l'installation d'équipements et de composants d'ordinateur ou d'ordinateur.",Architecture et professions d'ingénierie
Electrical Engineers,4,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use.",Architecture and Engineering Occupations,17-2071.00,Ingénieurs électriciens,"Recherchez, concevoir, développer, tester ou superviser la fabrication et l'installation d'équipements électriques, de composants ou de systèmes à usage commercial, industriel, militaire ou scientifique.",Architecture et professions d'ingénierie
"Electronics Engineers, Except Computer",4,"Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls.",Architecture and Engineering Occupations,17-2072.00,"Ingénieurs électroniques, sauf l'ordinateur","Recherchez, concevoir, développer ou tester des composants et des systèmes électroniques à usage commercial, industriel, militaire ou scientifique utilisant des connaissances sur la théorie électronique et les propriétés des matériaux. Concevoir des circuits et des composants électroniques à utiliser dans des champs tels que les télécommunications, le guidage aérospatial et le contrôle de la propulsion, l'acoustique ou les instruments et les contrôles.",Architecture et professions d'ingénierie
Radio Frequency Identification Device Specialists,4,Design and implement radio frequency identification device (RFID) systems used to track shipments or goods.,Architecture and Engineering Occupations,17-2072.01,Spécialistes de dispositifs d'identification par radiofréquence,Concevoir et mettre en œuvre les systèmes de dispositifs d'identification par radiofréquence (RFID) utilisés pour suivre les expéditions ou les marchandises.,Architecture et professions d'ingénierie
Environmental Engineers,4,"Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology.",Architecture and Engineering Occupations,17-2081.00,Ingénieurs environnementaux,"Recherche, concevoir, planifier ou exercer des tâches d'ingénierie dans la prévention, le contrôle et l'assainissement des risques environnementaux à l'aide de diverses disciplines d'ingénierie. Les travaux peuvent inclure le traitement des déchets, l'assainissement du site ou la technologie de contrôle de la pollution.",Architecture et professions d'ingénierie
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",4,"Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers.",Architecture and Engineering Occupations,17-2111.00,"Ingénieurs de la santé et de la sécurité, à l'exception des ingénieurs et inspecteurs de la sécurité minière","Promouvoir la sécurité du site ou des produits en appliquant des connaissances sur les processus industriels, la mécanique, la chimie, la psychologie et les lois sur la santé et la sécurité industrielles. Comprend des ingénieurs de sécurité des produits industriels.",Architecture et professions d'ingénierie
Fire-Prevention and Protection Engineers,4,"Research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards.",Architecture and Engineering Occupations,17-2111.02,Ingénieurs de prévention des incendies et de protection,"Les causes de recherche sur les incendies, déterminent les méthodes de protection contre les incendies et recommandent ou recommandent des matériaux ou des équipements tels que des composants structurels ou un équipement de détection d'incendie pour aider les organisations à protéger la vie et les biens contre les incendies, l'explosion et les risques connexes.",Architecture et professions d'ingénierie
Industrial Engineers,4,"Design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination.",Architecture and Engineering Occupations,17-2112.00,Ingénieurs industriels,"Concevoir, développer, tester et évaluer les systèmes intégrés pour gérer les processus de production industrielle, y compris les facteurs de travail humain, le contrôle de la qualité, le contrôle des stocks, la logistique et le flux de matériaux, l'analyse des coûts et la coordination de la production.",Architecture et professions d'ingénierie
Human Factors Engineers and Ergonomists,5,"Design objects, facilities, and environments to optimize human well-being and overall system performance, applying theory, principles, and data regarding the relationship between humans and respective technology. Investigate and analyze characteristics of human behavior and performance as it relates to the use of technology.",Architecture and Engineering Occupations,17-2112.01,Ingénieurs de facteurs humains et ergonomistes,"Concevoir des objets, des installations et des environnements pour optimiser le bien-être humain et les performances globales du système, l'application de la théorie, des principes et des données concernant la relation entre les humains et la technologie respective. Étudier et analyser les caractéristiques du comportement humain et des performances en ce qui concerne l'utilisation de la technologie.",Architecture et professions d'ingénierie
Validation Engineers,4,"Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.",Architecture and Engineering Occupations,17-2112.02,Ingénieurs de validation,"Concevoir ou planifier des protocoles pour l'équipement ou les processus pour produire des produits répondant aux exigences de pureté, de sécurité et de qualité internes et externes.",Architecture et professions d'ingénierie
