,O*NET-SOC Code,Title,Job Zone,Date,Domain Source,Description,Domain
205,19-1029.04,Biologists,5,Aug-18,Analyst,"Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.","Life, Physical, and Social Science Occupations"
206,19-1031.00,Conservation Scientists,4,Aug-22,Analyst,"Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.","Life, Physical, and Social Science Occupations"
207,19-1031.02,Range Managers,4,Aug-20,Analyst,"Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.","Life, Physical, and Social Science Occupations"
208,19-1031.03,Park Naturalists,4,Jul-16,Analyst,"Plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park.","Life, Physical, and Social Science Occupations"
209,19-1032.00,Foresters,4,Jul-15,Analyst,"Manage public and private forested lands for economic, recreational, and conservation purposes. May inventory the type, amount, and location of standing timber, appraise the timber's worth, negotiate the purchase, and draw up contracts for procurement. May determine how to conserve wildlife habitats, creek beds, water quality, and soil stability, and how best to comply with environmental regulations. May devise plans for planting and growing new trees, monitor trees for healthy growth, and determine optimal harvesting schedules.","Life, Physical, and Social Science Occupations"
210,19-1041.00,Epidemiologists,5,Jul-16,Analyst,"Investigate and describe the determinants and distribution of disease, disability, or health outcomes. May develop the means for prevention and control.","Life, Physical, and Social Science Occupations"
211,19-1042.00,"Medical Scientists, Except Epidemiologists",5,Aug-21,Analyst,"Conduct research dealing with the understanding of human diseases and the improvement of human health. Engage in clinical investigation, research and development, or other related activities.","Life, Physical, and Social Science Occupations"
212,19-2011.00,Astronomers,5,Aug-20,Analyst,"Observe, research, and interpret astronomical phenomena to increase basic knowledge or apply such information to practical problems.","Life, Physical, and Social Science Occupations"
213,19-2012.00,Physicists,5,Aug-20,Analyst,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.","Life, Physical, and Social Science Occupations"
214,19-2021.00,Atmospheric and Space Scientists,4,Aug-19,Analyst,"Investigate atmospheric phenomena and interpret meteorological data, gathered by surface and air stations, satellites, and radar to prepare reports and forecasts for public and other uses. Includes weather analysts and forecasters whose functions require the detailed knowledge of meteorology.","Life, Physical, and Social Science Occupations"
215,19-2031.00,Chemists,4,Jul-13,Analyst,Conduct qualitative and quantitative chemical analyses or experiments in laboratories for quality or process control or to develop new products or knowledge.,"Life, Physical, and Social Science Occupations"
216,19-2032.00,Materials Scientists,5,Aug-20,Analyst,"Research and study the structures and chemical properties of various natural and synthetic or composite materials, including metals, alloys, rubber, ceramics, semiconductors, polymers, and glass. Determine ways to strengthen or combine materials or develop new materials with new or specific properties for use in a variety of products and applications. Includes glass scientists, ceramic scientists, metallurgical scientists, and polymer scientists.","Life, Physical, and Social Science Occupations"
217,19-2041.00,"Environmental Scientists and Specialists, Including Health",4,Jul-13,Analyst,"Conduct research or perform investigation for the purpose of identifying, abating, or eliminating sources of pollutants or hazards that affect either the environment or public health. Using knowledge of various scientific disciplines, may collect, synthesize, study, report, and recommend action based on data derived from measurements or observations of air, food, soil, water, and other sources.","Life, Physical, and Social Science Occupations"
218,19-2041.01,Climate Change Policy Analysts,5,Aug-21,Analyst,"Research and analyze policy developments related to climate change. Make climate-related recommendations for actions such as legislation, awareness campaigns, or fundraising approaches.","Life, Physical, and Social Science Occupations"
219,19-2041.02,Environmental Restoration Planners,5,Aug-21,Analyst,"Collaborate with field and biology staff to oversee the implementation of restoration projects and to develop new products. Process and synthesize complex scientific data into practical strategies for restoration, monitoring or management.","Life, Physical, and Social Science Occupations"
220,19-2041.03,Industrial Ecologists,5,Aug-21,Analyst,Apply principles and processes of natural ecosystems to develop models for efficient industrial systems. Use knowledge from the physical and social sciences to maximize effective use of natural resources in the production and use of goods and services. Examine societal issues and their relationship with both technical systems and the environment.,"Life, Physical, and Social Science Occupations"
221,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",5,Aug-20,Analyst,"Study the composition, structure, and other physical aspects of the Earth. May use geological, physics, and mathematics knowledge in exploration for oil, gas, minerals, or underground water; or in waste disposal, land reclamation, or other environmental problems. May study the Earth's internal composition, atmospheres, and oceans, and its magnetic, electrical, and gravitational forces. Includes mineralogists, paleontologists, stratigraphers, geodesists, and seismologists.","Life, Physical, and Social Science Occupations"
222,19-2043.00,Hydrologists,5,Aug-18,Analyst,"Research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation and its rate of infiltration into the soil, movement through the earth, and return to the ocean and atmosphere.","Life, Physical, and Social Science Occupations"
223,19-2099.01,Remote Sensing Scientists and Technologists,5,Jul-16,Analyst,"Apply remote sensing principles and methods to analyze data and solve problems in areas such as natural resource management, urban planning, or homeland security. May develop new sensor systems, analytical techniques, or new applications for existing systems.","Life, Physical, and Social Science Occupations"
224,19-3011.00,Economists,5,Aug-19,Analyst,"Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods.","Life, Physical, and Social Science Occupations"
225,19-3011.01,Environmental Economists,5,Aug-20,Analyst,"Conduct economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources. Evaluate and quantify benefits, costs, incentives, and impacts of alternative options using economic principles and statistical techniques.","Life, Physical, and Social Science Occupations"
226,19-3022.00,Survey Researchers,5,Aug-19,Analyst,"Plan, develop, or conduct surveys. May analyze and interpret the meaning of survey data, determine survey objectives, or suggest or test question wording. Includes social scientists who primarily design questionnaires or supervise survey teams.","Life, Physical, and Social Science Occupations"
227,19-3032.00,Industrial-Organizational Psychologists,5,Jul-12,Analyst,"Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training, and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity.","Life, Physical, and Social Science Occupations"
228,19-3033.00,Clinical and Counseling Psychologists,5,Aug-22,Analyst,"Assess, diagnose, and treat mental and emotional disorders of individuals through observation, interview, and psychological tests. Help individuals with distress or maladjustment understand their problems through their knowledge of case history, interviews with patients, and theory. Provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment. May design behavior modification programs and consult with medical personnel regarding the best treatment for patients.","Life, Physical, and Social Science Occupations"
229,19-3034.00,School Psychologists,5,Aug-19,Analyst,"Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel.","Life, Physical, and Social Science Occupations"
230,19-3039.02,Neuropsychologists,5,Nov-21,Analyst - Preliminary,"Apply theories and principles of neuropsychology to evaluate and diagnose disorders of higher cerebral functioning, often in research and medical settings. Study the human brain and the effect of physiological states on human cognition and behavior. May formulate and administer programs of treatment.","Life, Physical, and Social Science Occupations"
231,19-3039.03,Clinical Neuropsychologists,5,Nov-21,Analyst - Preliminary,"Assess and diagnose patients with neurobehavioral problems related to acquired or developmental disorders of the nervous system, such as neurodegenerative disorders, traumatic brain injury, seizure disorders, and learning disabilities. Recommend treatment after diagnosis, such as therapy, medication, or surgery. Assist with evaluation before and after neurosurgical procedures, such as deep brain stimulation.","Life, Physical, and Social Science Occupations"
232,19-3041.00,Sociologists,5,Jul-16,Analyst,"Study human society and social behavior by examining the groups and social institutions that people form, as well as various social, religious, political, and business organizations. May study the behavior and interaction of groups, trace their origin and growth, and analyze the influence of group activities on individual members.","Life, Physical, and Social Science Occupations"
233,19-3051.00,Urban and Regional Planners,5,Aug-21,Analyst,"Develop comprehensive plans and programs for use of land and physical facilities of jurisdictions, such as towns, cities, counties, and metropolitan areas.","Life, Physical, and Social Science Occupations"
234,19-3091.00,Anthropologists and Archeologists,5,Aug-22,Analyst,"Study the origin, development, and behavior of human beings. May study the way of life, language, or physical characteristics of people in various parts of the world. May engage in systematic recovery and examination of material evidence, such as tools or pottery remaining from past human cultures, in order to determine the history, customs, and living habits of earlier civilizations.","Life, Physical, and Social Science Occupations"
235,19-3092.00,Geographers,5,Jul-16,Analyst,"Study the nature and use of areas of the Earth's surface, relating and interpreting interactions of physical and cultural phenomena. Conduct research on physical aspects of a region, including land forms, climates, soils, plants, and animals, and conduct research on the spatial implications of human activities within a given area, including social characteristics, economic activities, and political organization, as well as researching interdependence between regions at scales ranging from local to global.","Life, Physical, and Social Science Occupations"
236,19-3093.00,Historians,5,Jul-15,Analyst,"Research, analyze, record, and interpret the past as recorded in sources, such as government and institutional records, newspapers and other periodicals, photographs, interviews, films, electronic media, and unpublished manuscripts, such as personal diaries and letters.","Life, Physical, and Social Science Occupations"
237,19-3094.00,Political Scientists,5,Aug-22,Analyst,"Study the origin, development, and operation of political systems. May study topics, such as public opinion, political decisionmaking, and ideology. May analyze the structure and operation of governments, as well as various political entities. May conduct public opinion surveys, analyze election results, or analyze public documents.","Life, Physical, and Social Science Occupations"
238,19-3099.01,Transportation Planners,4,Jul-17,Analyst,"Prepare studies for proposed transportation projects. Gather, compile, and analyze data. Study the use and operation of transportation systems. Develop transportation models or simulations.","Life, Physical, and Social Science Occupations"
239,19-4012.00,Agricultural Technicians,3,Jul-14,Analyst,"Work with agricultural scientists in plant, fiber, and animal research, or assist with animal breeding and nutrition. Set up or maintain laboratory equipment and collect samples from crops or animals. Prepare specimens or record data to assist scientists in biology or related life science experiments. Conduct tests and experiments to improve yield and quality of crops or to increase the resistance of plants and animals to disease or insects.","Life, Physical, and Social Science Occupations"
240,19-4012.01,Precision Agriculture Technicians,4,Jul-16,Analyst,"Apply geospatial technologies, including geographic information systems (GIS) and Global Positioning System (GPS), to agricultural production or management activities, such as pest scouting, site-specific pesticide application, yield mapping, or variable-rate irrigation. May use computers to develop or analyze maps or remote sensing images to compare physical topography with data on soils, fertilizer, pests, or weather.","Life, Physical, and Social Science Occupations"
241,19-4013.00,Food Science Technicians,3,Jul-13,Analyst,"Work with food scientists or technologists to perform standardized qualitative and quantitative tests to determine physical or chemical properties of food or beverage products. Includes technicians who assist in research and development of production technology, quality control, packaging, processing, and use of foods.","Life, Physical, and Social Science Occupations"
242,19-4021.00,Biological Technicians,4,Jul-17,Analyst,"Assist biological and medical scientists. Set up, operate, and maintain laboratory instruments and equipment, monitor experiments, collect data and samples, make observations, and calculate and record results. May analyze organic substances, such as blood, food, and drugs.","Life, Physical, and Social Science Occupations"
243,19-4031.00,Chemical Technicians,3,Aug-21,Analyst,"Conduct chemical and physical laboratory tests to assist scientists in making qualitative and quantitative analyses of solids, liquids, and gaseous materials for research and development of new products or processes, quality control, maintenance of environmental standards, and other work involving experimental, theoretical, or practical application of chemistry and related sciences.","Life, Physical, and Social Science Occupations"
244,19-4042.00,"Environmental Science and Protection Technicians, Including Health",4,Jul-16,Analyst,"Perform laboratory and field tests to monitor the environment and investigate sources of pollution, including those that affect health, under the direction of an environmental scientist, engineer, or other specialist. May collect samples of gases, soil, water, and other materials for testing.","Life, Physical, and Social Science Occupations"
245,19-4043.00,"Geological Technicians, Except Hydrologic Technicians",4,Nov-20,Analyst - Transition,"Assist scientists or engineers in the use of electronic, sonic, or nuclear measuring instruments in laboratory, exploration, and production activities to obtain data indicating resources such as metallic ore, minerals, gas, coal, or petroleum. Analyze mud and drill cuttings. Chart pressure, temperature, and other characteristics of wells or bore holes.","Life, Physical, and Social Science Occupations"
246,19-4044.00,Hydrologic Technicians,3,Nov-21,Analyst - Preliminary,"Collect and organize data concerning the distribution and circulation of ground and surface water, and data on its physical, chemical, and biological properties. Measure and report on flow rates and ground water levels, maintain field equipment, collect water samples, install and collect sampling equipment, and process samples for shipment to testing laboratories. May collect data on behalf of hydrologists, engineers, developers, government agencies, or agriculture.","Life, Physical, and Social Science Occupations"
247,19-4051.00,Nuclear Technicians,3,Nov-20,Analyst - Transition,"Assist nuclear physicists, nuclear engineers, or other scientists in laboratory, power generation, or electricity production activities. May operate, maintain, or provide quality control for nuclear testing and research equipment. May monitor radiation.","Life, Physical, and Social Science Occupations"
248,19-4051.02,Nuclear Monitoring Technicians,3,Jul-14,Analyst,"Collect and test samples to monitor results of nuclear experiments and contamination of humans, facilities, and environment.","Life, Physical, and Social Science Occupations"
249,19-4061.00,Social Science Research Assistants,4,Aug-19,Analyst,"Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.","Life, Physical, and Social Science Occupations"
250,19-4071.00,Forest and Conservation Technicians,3,Aug-18,Analyst,"Provide technical assistance regarding the conservation of soil, water, forests, or related natural resources. May compile data pertaining to size, content, condition, and other characteristics of forest tracts under the direction of foresters, or train and lead forest workers in forest propagation and fire prevention and suppression. May assist conservation scientists in managing, improving, and protecting rangelands and wildlife habitats.","Life, Physical, and Social Science Occupations"
251,19-4092.00,Forensic Science Technicians,4,Jul-13,Analyst,"Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry.","Life, Physical, and Social Science Occupations"
252,19-4099.01,Quality Control Analysts,3,Aug-20,Analyst,"Conduct tests to determine quality of raw materials, bulk intermediate and finished products. May conduct stability sample tests.","Life, Physical, and Social Science Occupations"
253,19-4099.03,Remote Sensing Technicians,4,Jul-12,Analyst,"Apply remote sensing technologies to assist scientists in areas such as natural resources, urban planning, or homeland security. May prepare flight plans or sensor configurations for flight trips.","Life, Physical, and Social Science Occupations"
254,19-5011.00,Occupational Health and Safety Specialists,4,Aug-19,Analyst,"Review, evaluate, and analyze work environments and design programs and procedures to control, eliminate, and prevent disease or injury caused by chemical, physical, and biological agents or ergonomic factors. May conduct inspections and enforce adherence to laws and regulations governing the health and safety of individuals. May be employed in the public or private sector.","Life, Physical, and Social Science Occupations"
255,19-5012.00,Occupational Health and Safety Technicians,3,Aug-19,Analyst,"Collect data on work environments for analysis by occupational health and safety specialists. Implement and conduct evaluation of programs designed to limit chemical, physical, biological, and ergonomic risks to workers.","Life, Physical, and Social Science Occupations"
256,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,5,Aug-21,Analyst,"Counsel and advise individuals with alcohol, tobacco, drug, or other problems, such as gambling and eating disorders. May counsel individuals, families, or groups or engage in prevention programs.",Community and Social Service Occupations
257,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",5,Aug-18,Analyst,Advise and assist students and provide educational and vocational guidance services.,Community and Social Service Occupations
258,21-1013.00,Marriage and Family Therapists,5,Aug-20,Analyst,"Diagnose and treat mental and emotional disorders, whether cognitive, affective, or behavioral, within the context of marriage and family systems. Apply psychotherapeutic and family systems theories and techniques in the delivery of services to individuals, couples, and families for the purpose of treating such diagnosed nervous and mental disorders.",Community and Social Service Occupations
259,21-1014.00,Mental Health Counselors,5,Aug-21,Analyst,"Counsel and advise individuals and groups to promote optimum mental and emotional health, with an emphasis on prevention. May help individuals deal with a broad range of mental health issues, such as those associated with addictions and substance abuse; family, parenting, and marital problems; stress management; self-esteem; or aging.",Community and Social Service Occupations
260,21-1015.00,Rehabilitation Counselors,4,Aug-20,Analyst,"Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, aging, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement.",Community and Social Service Occupations
261,21-1021.00,"Child, Family, and School Social Workers",4,Aug-18,Analyst,"Provide social services and assistance to improve the social and psychological functioning of children and their families and to maximize the family well-being and the academic functioning of children. May assist parents, arrange adoptions, and find foster homes for abandoned or abused children. In schools, they address such problems as teenage pregnancy, misbehavior, and truancy. May also advise teachers.",Community and Social Service Occupations
262,21-1022.00,Healthcare Social Workers,5,Aug-21,Analyst,"Provide individuals, families, and groups with the psychosocial support needed to cope with chronic, acute, or terminal illnesses. Services include advising family caregivers. Provide patients with information and counseling, and make referrals for other services. May also provide case and care management or interventions designed to promote health, prevent disease, and address barriers to access to healthcare.",Community and Social Service Occupations
263,21-1023.00,Mental Health and Substance Abuse Social Workers,5,Aug-21,Analyst,"Assess and treat individuals with mental, emotional, or substance abuse problems, including abuse of alcohol, tobacco, and/or other drugs. Activities may include individual and group therapy, crisis intervention, case management, client advocacy, prevention, and education.",Community and Social Service Occupations
264,21-1091.00,Health Education Specialists,4,Aug-19,Analyst,"Provide and manage health education programs that help individuals, families, and their communities maximize and maintain healthy lifestyles. Use data to identify community needs prior to planning, implementing, monitoring, and evaluating programs designed to encourage healthy lifestyles, policies, and environments. May link health systems, health providers, insurers, and patients to address individual and population health needs. May serve as resource to assist individuals, other health professionals, or the community, and may administer fiscal resources for health education programs.",Community and Social Service Occupations
265,21-1092.00,Probation Officers and Correctional Treatment Specialists,4,Aug-20,Analyst,"Provide social services to assist in rehabilitation of law offenders in custody or on probation or parole. Make recommendations for actions involving formulation of rehabilitation plan and treatment of offender, including conditional release and education and employment stipulations.",Community and Social Service Occupations
266,21-1093.00,Social and Human Service Assistants,4,Aug-20,Analyst,"Assist other social and human service providers in providing client services in a wide variety of fields, such as psychology, rehabilitation, or social work, including support for families. May assist clients in identifying and obtaining available benefits and social and community services. May assist social workers with developing, organizing, and conducting programs to prevent and resolve problems relevant to substance abuse, human relationships, rehabilitation, or dependent care.",Community and Social Service Occupations
267,21-1094.00,Community Health Workers,4,Jul-13,Analyst,"Promote health within a community by assisting individuals to adopt healthy behaviors. Serve as an advocate for the health needs of individuals by assisting community residents in effectively communicating with healthcare providers or social service agencies. Act as liaison or advocate and implement programs that promote, maintain, and improve individual and overall community health. May deliver health-related preventive services such as blood pressure, glaucoma, and hearing screenings. May collect data to help identify community health needs.",Community and Social Service Occupations
268,21-2011.00,Clergy,5,Jul-15,Analyst,Conduct religious worship and perform other spiritual functions associated with beliefs and practices of religious faith or denomination. Provide spiritual and moral guidance and assistance to members.,Community and Social Service Occupations
269,21-2021.00,"Directors, Religious Activities and Education",4,Jul-15,Analyst,"Coordinate or design programs and conduct outreach to promote the religious education or activities of a denominational group. May provide counseling, guidance, and leadership relative to marital, health, financial, and religious problems.",Community and Social Service Occupations
270,23-1011.00,Lawyers,5,Jul-16,Analyst,"Represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, or manage or advise clients on legal transactions. May specialize in a single area or may practice broadly in many areas of law.",Legal Occupations
271,23-1012.00,Judicial Law Clerks,5,Aug-21,Analyst,Assist judges in court or by conducting research or preparing legal documents.,Legal Occupations
272,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",5,Aug-20,Analyst,"Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements.",Legal Occupations
273,23-1022.00,"Arbitrators, Mediators, and Conciliators",5,Aug-20,Analyst,Facilitate negotiation and conflict resolution through dialogue. Resolve conflicts outside of the court system by mutual consent of parties involved.,Legal Occupations
274,23-1023.00,"Judges, Magistrate Judges, and Magistrates",5,Aug-20,Analyst,"Arbitrate, advise, adjudicate, or administer justice in a court of law. May sentence defendant in criminal cases according to government statutes or sentencing guidelines. May determine liability of defendant in civil cases. May perform wedding ceremonies.",Legal Occupations
275,23-2011.00,Paralegals and Legal Assistants,3,Aug-18,Analyst,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",Legal Occupations
276,23-2093.00,"Title Examiners, Abstractors, and Searchers",2,Jul-17,Analyst,"Search real estate records, examine titles, or summarize pertinent legal or insurance documents or details for a variety of purposes. May compile lists of mortgages, contracts, and other instruments pertaining to titles by searching public and private records for law firms, real estate agencies, or title insurance companies.",Legal Occupations
277,25-1011.00,"Business Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
278,25-1021.00,"Computer Science Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses in computer science. May specialize in a field of computer science, such as the design and function of computers or operations and research analysis. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
279,25-1022.00,"Mathematical Science Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
280,25-1031.00,"Architecture Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
281,25-1032.00,"Engineering Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
282,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses in the agricultural sciences. Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
283,25-1042.00,"Biological Science Teachers, Postsecondary",5,Aug-19,Analyst,Teach courses in biological sciences. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations
284,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",5,Aug-20,Analyst,Teach courses in forestry and conservation science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations
285,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses in the physical sciences, except chemistry and physics. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
286,25-1052.00,"Chemistry Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses pertaining to the chemical and physical properties and compositional changes of substances. Work may include providing instruction in the methods of qualitative and quantitative chemical analysis. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
287,25-1053.00,"Environmental Science Teachers, Postsecondary",5,Aug-19,Analyst,Teach courses in environmental science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations
288,25-1054.00,"Physics Teachers, Postsecondary",5,Aug-19,Analyst,Teach courses pertaining to the laws of matter and energy. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations
289,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",5,Aug-19,Analyst,Teach courses in anthropology or archeology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations
290,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses pertaining to the culture and development of an area, an ethnic group, or any other group, such as Latin American studies, women's studies, or urban affairs. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
291,25-1063.00,"Economics Teachers, Postsecondary",5,Aug-19,Analyst,Teach courses in economics. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations
292,25-1064.00,"Geography Teachers, Postsecondary",5,Aug-19,Analyst,Teach courses in geography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations
293,25-1065.00,"Political Science Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses in political science, international affairs, and international relations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
294,25-1066.00,"Psychology Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses in psychology, such as child, clinical, and developmental psychology, and psychological counseling. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
295,25-1067.00,"Sociology Teachers, Postsecondary",5,Aug-19,Analyst,Teach courses in sociology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations
296,25-1071.00,"Health Specialties Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses in health specialties, in fields such as dentistry, laboratory technology, medicine, pharmacy, public health, therapy, and veterinary medicine.",Educational Instruction and Library Occupations
297,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",5,Aug-19,Analyst,Demonstrate and teach patient care in classroom and clinical units to nursing students. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations
298,25-1081.00,"Education Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
299,25-1082.00,"Library Science Teachers, Postsecondary",5,Aug-19,Analyst,Teach courses in library science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations
300,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses in criminal justice, corrections, and law enforcement administration. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
301,25-1112.00,"Law Teachers, Postsecondary",5,Aug-19,Analyst,Teach courses in law. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations
302,25-1113.00,"Social Work Teachers, Postsecondary",5,Aug-21,Analyst,Teach courses in social work. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations
303,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
304,25-1122.00,"Communications Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses in communications, such as organizational communications, public relations, radio/television broadcasting, and journalism. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
305,25-1123.00,"English Language and Literature Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses in English language and literature, including linguistics and comparative literature. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
306,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",5,Aug-19,Analyst,Teach languages and literature courses in languages other than English. Includes teachers of American Sign Language (ASL). Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations
307,25-1125.00,"History Teachers, Postsecondary",5,Aug-19,Analyst,Teach courses in human history and historiography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,Educational Instruction and Library Occupations
308,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses in philosophy, religion, and theology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
309,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",5,Aug-19,Analyst,"Teach courses in childcare, family relations, finance, nutrition, and related subjects pertaining to home management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Educational Instruction and Library Occupations
